,method,n,time,accuracy
91,abess,280,0.012033224105834961,0.9
92,abess,280,0.008994102478027344,0.8
93,abess,280,0.011784791946411133,0.75
94,abess,280,0.01118612289428711,0.75
95,abess,280,0.014246463775634766,0.75
96,abess,280,0.026419639587402344,0.9
97,abess,280,0.015513896942138672,0.7
98,abess,280,0.014818668365478516,0.95
99,abess,280,0.012184619903564453,0.85
100,abess,300,0.01420736312866211,0.85
101,abess,300,0.014111518859863281,0.85
102,abess,300,0.01610112190246582,0.95
103,abess,300,0.012418270111083984,0.85
104,abess,300,0.01426076889038086,0.85
105,abess,300,0.0138702392578125,0.8
106,abess,300,0.011156558990478516,0.75
107,abess,300,0.013587713241577148,0.9
108,abess,300,0.014897584915161133,0.8
109,abess,300,0.015797138214111328,0.8
110,abess,320,0.017138957977294922,1.0
111,abess,320,0.018295764923095703,0.9
112,abess,320,0.018917083740234375,1.0
113,abess,320,0.013607978820800781,0.95
114,abess,320,0.01134181022644043,0.95
115,abess,320,0.012733697891235352,0.9
116,abess,320,0.017111539840698242,0.85
117,abess,320,0.01901412010192871,0.8
118,abess,320,0.012761116027832031,0.85
119,abess,320,0.01139688491821289,0.95
120,abess,340,0.020458698272705078,0.95
121,abess,340,0.019539594650268555,0.85
122,abess,340,0.018254995346069336,0.95
123,abess,340,0.014130115509033203,0.85
124,abess,340,0.013986349105834961,0.95
125,abess,340,0.01586604118347168,0.95
126,abess,340,0.018007993698120117,1.0
127,abess,340,0.02162027359008789,0.9
128,abess,340,0.014773845672607422,0.8
129,abess,340,0.015546321868896484,0.95
130,abess,360,0.013446807861328125,0.9
131,abess,360,0.013927221298217773,0.75
132,abess,360,0.016871929168701172,0.95
133,abess,360,0.014271736145019531,0.95
134,abess,360,0.014859199523925781,0.65
135,abess,360,0.011451005935668945,0.95
136,abess,360,0.017759323120117188,0.95
137,abess,360,0.010528564453125,1.0
138,abess,360,0.014138221740722656,0.8
139,abess,360,0.016138553619384766,0.85
140,abess,380,0.014805793762207031,0.9
