,model,n,p,k,seed,method,time,accuracy,n_iters
286,ising,400,190,40,31,HTP,4.150822905998211,1.0,4
287,ising,400,190,40,31,CVXPY,2.789877716000774,0.9,0
288,ising,400,190,40,32,SCOPE_jit,1.935950828003115,1.0,10
289,ising,400,190,40,32,SCOPE,21.279572305997135,1.0,10
290,ising,400,190,40,32,GraSP_jit,0.654007154997089,0.975,5
291,ising,400,190,40,32,GraSP,6.518001841002842,0.975,5
292,ising,400,190,40,32,IHT_jit,0.3209327069998835,1.0,4
293,ising,400,190,40,32,IHT,1.049853300995892,1.0,4
294,ising,400,190,40,32,HTP_jit,0.5160623590054456,1.0,3
295,ising,400,190,40,32,HTP,4.4408006990051945,1.0,3
296,ising,400,190,40,32,CVXPY,2.1512475999988965,0.925,0
297,ising,400,190,40,33,SCOPE_jit,1.5473950340019655,0.925,6
298,ising,400,190,40,33,SCOPE,10.17670371299755,0.925,6
299,ising,400,190,40,33,GraSP_jit,0.6528316090043518,1.0,6
300,ising,400,190,40,33,GraSP,5.972850334997929,1.0,6
301,ising,400,190,40,33,IHT_jit,0.30241035399376415,1.0,5
302,ising,400,190,40,33,IHT,0.8273858350003138,1.0,5
303,ising,400,190,40,33,HTP_jit,0.6230146910020267,0.975,5
304,ising,400,190,40,33,HTP,6.5113966790013365,0.975,5
305,ising,400,190,40,33,CVXPY,2.531939599000907,0.9,0
306,ising,400,190,40,34,SCOPE_jit,2.362171535001835,1.0,9
307,ising,400,190,40,34,SCOPE,21.057495426997775,1.0,9
308,ising,400,190,40,34,GraSP_jit,0.7428838070045458,1.0,7
309,ising,400,190,40,34,GraSP,8.3829253790027,1.0,7
310,ising,400,190,40,34,IHT_jit,0.4330841769988183,1.0,14
311,ising,400,190,40,34,IHT,1.5976681419997476,1.0,14
312,ising,400,190,40,34,HTP_jit,0.5843914140059496,1.0,4
313,ising,400,190,40,34,HTP,4.991386109999439,1.0,4
314,ising,400,190,40,34,CVXPY,2.295930934000353,0.925,0
315,ising,400,190,40,35,SCOPE_jit,3.4314646880011423,0.95,14
316,ising,400,190,40,35,SCOPE,32.04836505199637,0.95,14
317,ising,400,190,40,35,GraSP_jit,1.0455764919970534,0.95,14
318,ising,400,190,40,35,GraSP,18.538529596000444,0.95,14
319,ising,400,190,40,35,IHT_jit,0.4881778029957786,0.95,99
320,ising,400,190,40,35,IHT,3.5850166540039936,0.95,99
321,ising,400,190,40,35,HTP_jit,1.045079645999067,0.925,6
322,ising,400,190,40,35,HTP,5.607794666997506,0.925,6
323,ising,400,190,40,35,CVXPY,1.6791052489934373,0.9,0
324,ising,400,190,40,36,SCOPE_jit,1.538255957995716,1.0,7
325,ising,400,190,40,36,SCOPE,12.770360441005323,1.0,7
326,ising,400,190,40,36,GraSP_jit,0.5607918850000715,1.0,5
327,ising,400,190,40,36,GraSP,5.0089828920026775,1.0,5
328,ising,400,190,40,36,IHT_jit,0.29603715499979444,1.0,5
329,ising,400,190,40,36,IHT,1.3728380250031478,1.0,5
330,ising,400,190,40,36,HTP_jit,0.4402696269971784,1.0,4
331,ising,400,190,40,36,HTP,3.3103508470012457,1.0,4
332,ising,400,190,40,36,CVXPY,1.8642793629987864,0.9,0
333,ising,400,190,40,37,SCOPE_jit,2.984113674996479,1.0,10
334,ising,400,190,40,37,SCOPE,21.123805766997975,1.0,10
335,ising,400,190,40,37,GraSP_jit,1.052589633000025,0.975,13
336,ising,400,190,40,37,GraSP,14.355855986003007,0.975,13
337,ising,400,190,40,37,IHT_jit,0.3379174759975285,0.975,6
338,ising,400,190,40,37,IHT,1.0075534360003076,0.975,6
339,ising,400,190,40,37,HTP_jit,0.42146885699912673,1.0,5
340,ising,400,190,40,37,HTP,5.279331231002288,1.0,5
341,ising,400,190,40,37,CVXPY,3.1080746369989356,0.925,0
342,ising,400,190,40,38,SCOPE_jit,3.082690333998471,1.0,13
343,ising,400,190,40,38,SCOPE,31.785203286002798,1.0,11
344,ising,400,190,40,38,GraSP_jit,1.075320470998122,0.975,5
345,ising,400,190,40,38,GraSP,19.809061471998575,0.975,5
346,ising,400,190,40,38,IHT_jit,0.518739725004707,0.975,7
347,ising,400,190,40,38,IHT,1.7810466219962109,0.975,7
348,ising,400,190,40,38,HTP_jit,0.5672013930015964,1.0,6
349,ising,400,190,40,38,HTP,8.812320249999175,1.0,6
350,ising,400,190,40,38,CVXPY,2.7882581669982756,0.85,0
351,ising,400,190,40,39,SCOPE_jit,2.0844822650033166,1.0,8
352,ising,400,190,40,39,SCOPE,23.227328697001212,1.0,8
353,ising,400,190,40,39,GraSP_jit,0.7688823400021647,1.0,5
354,ising,400,190,40,39,GraSP,8.18541216700396,1.0,5
355,ising,400,190,40,39,IHT_jit,0.3672804579982767,0.975,5
356,ising,400,190,40,39,IHT,1.4403778979976778,0.975,5
357,ising,400,190,40,39,HTP_jit,0.4317915729989181,1.0,3
358,ising,400,190,40,39,HTP,4.865663638003753,1.0,3
359,ising,400,190,40,39,CVXPY,7.482566569000483,0.95,0
360,ising,500,190,40,40,SCOPE_jit,3.53452494800149,1.0,10
361,ising,500,190,40,40,SCOPE,29.70286056600162,1.0,10
362,ising,500,190,40,40,GraSP_jit,0.7256896890030475,1.0,7
363,ising,500,190,40,40,GraSP,7.939549476002867,1.0,7
