,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_fdr,gurobi_fdr,autodiff_mse,gurobi_mse,autodiff_time,gurobi_time
264,50,61,10,0.8,0.8,0.2,0.2,46574.50812677888,46574.50812846946,0.11641836166381836,3601.3003907203674
265,50,50,4,0.5,0.5,0.5,0.5,11834.20501552987,11413.971527312546,0.0310208797454834,0.7489607334136963
266,50,27,10,0.8,0.8,0.2,0.2,56640.16921024154,56640.1691702037,0.0334622859954834,0.07198786735534668
267,50,26,10,0.8,0.8,0.2,0.2,18197.007604863462,18197.007604383416,0.027606487274169922,0.0570068359375
268,100,110,10,0.7,0.7,0.3,0.3,18297.205802312375,18297.205802311855,0.17678165435791016,3605.0782747268677
269,50,46,10,0.9,0.7,0.1,0.3,26421.130154141305,88967.86482618941,0.031854867935180664,11.684724569320679
270,50,29,10,0.8,0.8,0.2,0.2,19001.05900305535,24659.022084873308,0.028138160705566406,0.10395383834838867
271,50,45,10,0.9,0.9,0.1,0.1,35545.40252773439,35545.4025276932,0.05078005790710449,10.035860538482666
272,50,28,10,0.9,0.8,0.1,0.2,31623.991747145064,63230.892364468986,0.027239322662353516,0.5131282806396484
273,50,50,15,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,270553.8764158556,270553.8764165592,0.11803174018859863,259.2731239795685
274,50,65,10,0.7,0.7,0.3,0.3,46392.619637509575,46392.61960239244,0.10052037239074707,3601.421175956726
275,100,50,11,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.09090909090909091,6986.997324521265,6986.997324676253,0.10897541046142578,2.2397584915161133
276,50,44,10,0.9,0.8,0.1,0.2,76794.59122729837,81254.924141941,0.04587888717651367,21.280235767364502
277,50,68,10,0.7,0.7,0.3,0.3,88786.75964304255,88786.75964283671,0.10489010810852051,3602.0367720127106
278,100,75,10,0.8,0.8,0.2,0.2,13019.39572787111,13019.395727782743,0.18500232696533203,14.230008602142334
279,50,63,10,0.8,0.8,0.2,0.2,53909.50291632868,53909.50291480211,0.0566716194152832,3601.740560531616
280,100,50,18,0.8888888888888888,0.9444444444444444,0.1111111111111111,0.05555555555555555,33913.70976840967,26512.7821707804,0.17272043228149414,3.9845786094665527
281,100,20,10,0.9,0.9,0.1,0.1,7943.160065289785,7943.160064991415,0.04988574981689453,0.060663700103759766
282,50,50,17,0.5294117647058824,0.5882352941176471,0.47058823529411764,0.4117647058823529,174786.58098874736,371902.63834096474,0.20606470108032227,557.8936426639557
283,100,50,13,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.15384615384615385,19513.76864167219,19513.76863560484,0.1493537425994873,1.503105640411377
284,100,50,14,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,29888.17811422276,29888.178114285536,0.16133952140808105,1.764848232269287
285,100,35,10,0.8,0.8,0.2,0.2,10587.67073259833,10587.670732662398,0.06897258758544922,0.15619874000549316
286,50,64,10,0.8,0.8,0.2,0.2,32998.673717736834,32998.67371542043,0.07520270347595215,3606.626264333725
287,50,47,10,0.8,0.8,0.2,0.5294117647058824,42874.17130467066,42874.1713047209,0.0592646598815918,19.106759309768677
288,50,66,10,0.6,0.6,0.4,0.4,12843.585083378366,12843.585092184052,0.07101655006408691,3601.5607039928436
289,50,49,10,0.9,0.9,0.1,0.1,6176.618838582857,6176.618838578619,0.0595550537109375,8.29693055152893
290,50,50,10,0.9,1.0,0.1,0.16666666666666666,70006.14981578497,70006.14981578101,0.054673194885253906,14.185487747192383
291,50,48,10,0.7,0.6,0.3,0.4,19326.027310903777,51331.041064514546,0.05366373062133789,8.971099853515625
292,50,50,9,1.0,1.0,0.0,0.0,42917.91309553823,42917.91309623352,0.06234931945800781,64.6573212146759
293,50,67,10,0.9,0.8,0.1,0.2,36702.16113737353,34827.91097340229,0.07124066352844238,3602.645867586136
294,100,50,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,11195.957077877883,11195.957077778423,0.04743671417236328,0.19000720977783203
295,100,40,10,0.9,0.9,0.1,0.1,9610.779725181175,9610.779724907185,0.06691765785217285,0.19083142280578613
296,50,50,5,0.6,0.6,0.4,0.4,8142.419444494706,8142.419444497564,0.0330052375793457,2.4397618770599365
297,100,50,1,1.0,1.0,0.0,0.0,247.71014951092326,247.71014951092315,0.026798009872436523,0.15599441528320312
298,100,80,10,0.9,0.9,0.1,0.1,26510.985021127148,26510.985019824187,0.18472075462341309,10.614673614501953
299,50,50,20,0.45,0.6,0.55,0.4,199628.53296766515,144724.30035513733,0.1645190715789795,441.528685092926
300,100,50,16,0.6875,0.6875,0.3125,0.3125,22030.404667616844,22030.404801854456,0.15848326683044434,47.91564726829529
301,100,50,12,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,13154.06944433558,13154.069443499135,0.11840629577636719,4.946457862854004
302,50,50,2,1.0,1.0,0.0,0.0,1270.413709835381,1270.4137098352592,0.01911187171936035,0.17738938331604004
