n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
530,100,10,0.8,0.8,1.10278964,4.400203943
740,100,10,0.9,0.9,2.194976807,10.00721598
430,100,10,0.9,0.9,0.793040037,0.516759634
260,100,10,1,1,0.570854664,3.739002228
790,100,10,1,1,2.243618727,0.582132578
300,100,10,0.9,0.9,0.92099309,11.60943556
620,100,10,1,1,1.390628576,0.464114189
140,100,10,0.9,0.9,0.340364933,116.8524232
520,100,10,1,1,0.840961456,1.461253881
880,100,10,0.9,0.9,1.434533834,0.656984091
400,100,10,0.9,0.9,1.007605314,0.654870987
490,100,10,1,1,1.514452934,0.537402153
280,100,10,1,1,0.495458603,1.512456894
560,100,10,0.9,0.9,1.980639696,3.236221313
850,100,10,0.9,0.9,2.654426813,0.551004648
990,100,10,1,1,1.459060669,0.496767044
760,100,10,0.9,0.9,3.136646271,9.122864723
460,100,10,1,1,1.136368513,16.1896174
640,100,10,0.9,0.9,1.789126158,10.31085181
820,100,10,0.9,0.9,3.802480936,1.609224796
370,100,10,0.9,0.9,0.967378139,1.802121878
650,100,10,1,1,1.752045393,0.549414635
720,100,10,0.9,0.9,1.516931772,1.24338913
860,100,10,1,1,1.863896132,0.986962318
550,100,10,0.9,0.9,1.945868254,2.785062313
900,100,10,1,1,2.68119669,0.969530821
910,100,10,0.9,0.9,2.637462139,3.889069557
950,100,10,1,1,2.322884321,0.568699598
340,100,10,1,1,1.0811584,0.822064161
780,100,10,0.9,0.9,2.133684158,0.811347008
130,100,10,0.8,0.8,0.355880976,24.52273011
450,100,10,0.8,0.8,0.75504899,89.35149074
510,100,10,0.9,0.9,0.670669079,7.930041075
210,100,10,0.9,0.9,0.371145248,12.01756477
350,100,10,1,1,0.676827908,1.22866106
630,100,10,0.9,0.9,1.479254007,1.784428358
180,100,10,0.9,0.9,0.57898736,17.71313787
390,100,10,0.9,0.9,1.216226339,7.269240141
710,100,10,1,1,1.482513905,0.566371202
920,100,10,1,1,1.39585042,7.353001833
750,100,10,1,1,1.316609144,0.509066343
890,100,10,1,1,1.993838549,0.814347744
590,100,10,1,1,1.168808937,0.546938181
440,100,10,0.9,0.9,1.102189064,2.770775318
970,100,10,0.9,0.9,1.684296846,9.09420228
480,100,10,1,1,1.039124012,1.194648027
