,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
148,50,50,27,0.48148148148148145,0.4444444444444444,0.18698406219482422,513.8882291316986
149,100,100,41,0.6829268292682927,0.5365853658536586,1.0364220142364502,3602.243397474289
150,50,50,28,0.75,0.75,0.2524988651275635,250.22997641563416
151,100,100,81,0.8271604938271605,0.7901234567901234,9.961115598678589,1379.9551405906677
152,100,100,36,0.6388888888888888,0.7222222222222222,0.8003954887390137,3602.263872861862
153,50,50,23,0.6956521739130435,0.6086956521739131,0.11455082893371582,316.19807481765747
154,50,50,43,0.8837209302325582,0.8604651162790697,0.45317673683166504,2.210343360900879
155,100,100,51,0.6274509803921569,0.6274509803921569,2.324118137359619,3602.548239469528
156,50,50,38,0.8421052631578947,0.7105263157894737,0.36040687561035156,22.11874508857727
157,100,100,6,0.8333333333333334,0.8333333333333334,0.12867474555969238,16.87850546836853
158,50,50,13,0.7692307692307693,0.6923076923076923,0.06995797157287598,153.03551387786865
159,50,50,50,1.0,1.0,0.07488179206848145,0.11333417892456055
160,100,100,92,0.9239130434782609,0.9130434782608695,9.84747862815857,24.467228651046753
161,100,100,47,0.6808510638297872,0.5957446808510638,2.205357313156128,3602.498025417328
162,100,100,58,0.7241379310344828,0.6379310344827587,2.2081544399261475,3602.274594068527
163,50,50,45,0.8888888888888888,0.9111111111111111,0.8100087642669678,1.9825365543365479
164,100,100,2,1.0,1.0,0.12334132194519043,0.519594669342041
165,50,50,20,0.6,0.7,0.13246846199035645,810.1208672523499
166,100,100,42,0.5476190476190477,0.5238095238095238,1.9195733070373535,3602.228811264038
167,100,100,99,0.98989898989899,0.98989898989899,2.230822801589966,0.36725878715515137
168,100,100,17,0.5882352941176471,0.6470588235294118,0.29589056968688965,3602.2703201770782
169,100,100,54,0.7777777777777778,0.5740740740740741,4.236920356750488,3602.1848516464233
170,50,50,15,0.8666666666666667,0.7333333333333333,0.07100582122802734,183.43353533744812
171,100,100,94,0.9468085106382979,0.9361702127659575,10.08017897605896,6.880107641220093
172,100,100,49,0.5918367346938775,0.5714285714285714,1.6190531253814697,3602.1427149772644
173,100,100,69,0.7246376811594203,0.7101449275362319,4.7998738288879395,3602.333381175995
