{'n': 100, 'k': 30, 'seed': 12590, 'Lasso_accuracy': 0.9333333333333333, 'Lasso_best_lambda': 44.82421875, 'Lasso_time': 94.17151165008545, 'GraHTP_accuracy': 0.9, 'GraHTP_time': 0.019379377365112305, 'GraHTP_cv_accuracy': 0.9, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.29538655281066895, 'GraSP_accuracy': 0.8333333333333334, 'GraSP_time': 0.028563261032104492, 'SCOPE_accuracy': 0.9333333333333333, 'SCOPE_time': 0.4176599979400635}
{'n': 100, 'k': 30, 'seed': 12500, 'Lasso_accuracy': 0.9666666666666667, 'Lasso_best_lambda': 50.0, 'Lasso_time': 96.89181089401245, 'GraHTP_accuracy': 0.8666666666666667, 'GraHTP_time': 0.03389143943786621, 'GraHTP_cv_accuracy': 0.9333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 1.0868504047393799, 'GraSP_accuracy': 0.8666666666666667, 'GraSP_time': 0.05239152908325195, 'SCOPE_accuracy': 0.9333333333333333, 'SCOPE_time': 0.7245631217956543}
{'n': 100, 'k': 30, 'seed': 12560, 'Lasso_accuracy': 0.9, 'Lasso_best_lambda': 39.84375, 'Lasso_time': 100.12798738479614, 'GraHTP_accuracy': 0.8333333333333334, 'GraHTP_time': 0.016202211380004883, 'GraHTP_cv_accuracy': 0.9, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.45622825622558594, 'GraSP_accuracy': 0.8333333333333334, 'GraSP_time': 0.012723445892333984, 'SCOPE_accuracy': 0.9, 'SCOPE_time': 0.5073976516723633}
{'n': 50, 'k': 30, 'seed': 12451, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 26.5625, 'Lasso_time': 52.565685987472534, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.03659319877624512, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.34577369689941406, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.038558244705200195, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.7934014797210693}
{'n': 100, 'k': 30, 'seed': 12580, 'Lasso_accuracy': 0.8333333333333334, 'Lasso_best_lambda': 37.5, 'Lasso_time': 105.69013500213623, 'GraHTP_accuracy': 0.8, 'GraHTP_time': 0.03488469123840332, 'GraHTP_cv_accuracy': 0.8, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.8484728336334229, 'GraSP_accuracy': 0.7666666666666667, 'GraSP_time': 0.15179061889648438, 'SCOPE_accuracy': 0.8, 'SCOPE_time': 0.8493378162384033}
{'n': 100, 'k': 30, 'seed': 12520, 'Lasso_accuracy': 0.8333333333333334, 'Lasso_best_lambda': 47.05810546875, 'Lasso_time': 109.08112525939941, 'GraHTP_accuracy': 0.7666666666666667, 'GraHTP_time': 0.01649308204650879, 'GraHTP_cv_accuracy': 0.8666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.6753249168395996, 'GraSP_accuracy': 0.8333333333333334, 'GraSP_time': 0.10711288452148438, 'SCOPE_accuracy': 0.8333333333333334, 'SCOPE_time': 0.5097768306732178}
{'n': 50, 'k': 30, 'seed': 12432, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 25.0, 'Lasso_time': 30.20467472076416, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.022127151489257812, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.10402846336364746, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.015267610549926758, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.2546968460083008}
{'n': 50, 'k': 30, 'seed': 12401, 'Lasso_accuracy': 0.6333333333333333, 'Lasso_best_lambda': 28.125, 'Lasso_time': 48.71779990196228, 'GraHTP_accuracy': 0.6, 'GraHTP_time': 0.01128387451171875, 'GraHTP_cv_accuracy': 0.5666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.13154888153076172, 'GraSP_accuracy': 0.6, 'GraSP_time': 0.08638691902160645, 'SCOPE_accuracy': 0.6, 'SCOPE_time': 0.4653933048248291}
{'n': 100, 'k': 30, 'seed': 12510, 'Lasso_accuracy': 0.8333333333333334, 'Lasso_best_lambda': 54.78515625, 'Lasso_time': 114.69788527488708, 'GraHTP_accuracy': 0.7666666666666667, 'GraHTP_time': 0.0340573787689209, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 0.5063121318817139, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.2171001434326172, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 1.4449477195739746}
{'n': 50, 'k': 30, 'seed': 12492, 'Lasso_accuracy': 0.6666666666666666, 'Lasso_best_lambda': 26.5625, 'Lasso_time': 38.309694051742554, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.028284311294555664, 'GraHTP_cv_accuracy': 0.6333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.14861297607421875, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.01992344856262207, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.3781588077545166}
