,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
1766,900,11766,1.0,0.41992688179016113,0.58,2.5291812419891357,1.0,0.000774263682681127,14.193869829177856,1.0,0.025402069091796875,0.96,106250.0,9.070837497711182
1767,900,11767,1.0,1.6631369590759277,0.52,0.9634871482849121,1.0,0.000774263682681127,11.420698881149292,0.98,0.020264148712158203,0.98,89648.4375,10.997638940811157
1768,900,11768,1.0,1.3192601203918457,0.48,0.8672850131988525,1.0,0.001291549665014884,21.14049530029297,1.0,0.05553317070007324,0.98,93750.0,8.5806245803833
1769,900,11769,1.0,0.8501176834106445,0.58,1.7471613883972168,1.0,0.000774263682681127,17.79931879043579,0.92,0.05438733100891113,1.0,75000.0,4.321810245513916
1770,900,11770,1.0,0.5610320568084717,0.46,2.508666753768921,1.0,0.000774263682681127,22.03613257408142,0.98,0.024029016494750977,1.0,100000.0,6.1934497356414795
1771,900,11771,1.0,1.2705943584442139,0.48,2.2431728839874268,1.0,0.000774263682681127,26.853291273117065,0.96,0.08205056190490723,1.0,75000.0,9.665426015853882
1772,900,11772,1.0,3.411959171295166,0.66,3.7306690216064453,1.0,0.000774263682681127,22.157909870147705,0.96,0.06178092956542969,1.0,75000.0,5.184472560882568
1773,900,11773,1.0,0.4478495121002197,0.48,2.9482476711273193,1.0,0.000774263682681127,21.669326305389404,1.0,0.3564472198486328,1.0,100000.0,10.588081121444702
1774,900,11774,1.0,1.790452480316162,0.48,4.494856357574463,1.0,0.000774263682681127,33.03554940223694,0.98,0.15573883056640625,0.98,100000.0,11.754856586456299
1775,900,11775,1.0,1.4711217880249023,0.52,1.2651276588439941,1.0,0.000774263682681127,21.319293975830078,0.98,0.09885001182556152,1.0,100000.0,9.186673402786255
1776,900,11776,1.0,1.7160899639129639,0.48,4.364547491073608,1.0,0.000774263682681127,16.54009485244751,1.0,0.1363990306854248,1.0,100000.0,10.26713490486145
1777,900,11777,1.0,1.5310478210449219,0.5,4.353209733963013,1.0,0.000774263682681127,11.575877904891968,0.96,0.03710222244262695,1.0,93750.0,6.039480686187744
1778,900,11778,1.0,0.7081873416900635,0.5,2.320540428161621,1.0,0.000774263682681127,10.964948415756226,0.98,0.03492999076843262,1.0,100000.0,3.569697380065918
1779,900,11779,1.0,0.8879859447479248,0.46,2.9147589206695557,1.0,0.000774263682681127,9.352750778198242,0.98,0.04488039016723633,1.0,93750.0,8.888377904891968
1780,900,11780,1.0,0.9614946842193604,0.5,2.0797505378723145,1.0,0.000774263682681127,14.189160108566284,0.98,0.06456303596496582,1.0,84375.0,10.330516576766968
1781,900,11781,1.0,4.600162744522095,0.56,4.893901348114014,1.0,0.000774263682681127,35.60914492607117,0.98,0.3031432628631592,0.98,93750.0,7.958089828491211
1782,900,11782,1.0,0.6021389961242676,0.52,3.626117467880249,1.0,0.000774263682681127,31.50681233406067,0.96,0.021790504455566406,0.98,84375.0,13.531776666641235
1783,900,11783,1.0,0.6150104999542236,0.44,3.867647409439087,1.0,0.000774263682681127,24.18208932876587,0.98,0.19139432907104492,1.0,100000.0,9.871405839920044
1784,900,11784,1.0,4.983584403991699,0.52,4.100971460342407,1.0,0.000774263682681127,32.09369492530823,0.98,0.12436199188232422,0.98,89648.4375,28.810200691223145
1785,900,11785,1.0,1.050475835800171,0.42,7.112797737121582,1.0,0.000774263682681127,14.302510023117065,0.94,0.02174973487854004,0.98,83461.76147460938,23.864821195602417
1786,900,11786,1.0,1.5544483661651611,0.48,1.3794968128204346,1.0,0.000774263682681127,16.70438313484192,1.0,0.023830175399780273,0.98,105145.45440673828,19.244951963424683
