,n,p,k,sigma,autodiff_accuracy,lasso_accuracy,autodiff_time,lasso_time,best_lambda,lasso_1_accuracy,lasso_10_accuracy
393,100,11,5,0.4472135954999579,1.0,0.8333333333333334,201.48451113700867,2.605908155441284,10.0,0.16666666666666666,0.8333333333333334
394,100,15,5,0.4472135954999579,1.0,1.0,594.738498210907,4.276246786117554,3.1622776601683795,0.0,0.6666666666666666
395,100,10,1,0.4472135954999579,1.0,1.0,59.717559814453125,0.8386235237121582,1.0,1.0,1.0
396,100,14,1,0.4472135954999579,1.0,1.0,167.16099452972412,4.4832963943481445,3.1622776601683795,0.0,1.0
397,100,16,1,0.4472135954999579,1.0,1.0,239.77461552619934,2.274698495864868,3.1622776601683795,0.0,1.0
398,100,9,1,0.4472135954999579,1.0,1.0,48.14080548286438,2.0536417961120605,3.1622776601683795,0.0,1.0
399,100,17,5,0.4472135954999579,1.0,1.0,829.307247877121,4.414876461029053,3.1622776601683795,0.0,0.8333333333333334
400,100,5,1,0.4472135954999579,1.0,1.0,7.320247411727905,0.19432687759399414,1.0,1.0,0.0
401,100,15,1,0.4472135954999579,1.0,1.0,192.3606481552124,0.42953062057495117,1.0,1.0,1.0
402,100,4,1,0.4472135954999579,1.0,1.0,3.4056403636932373,0.18803691864013672,1.0,1.0,1.0
403,100,11,1,0.4472135954999579,1.0,1.0,79.56222152709961,0.4608769416809082,1.0,1.0,1.0
404,100,1,5,0.4472135954999579,0.3333333333333333,0.16666666666666666,0.304368257522583,0.8706645965576172,1.0,0.16666666666666666,0.16666666666666666
405,100,19,5,0.4472135954999579,1.0,1.0,1151.5789732933044,4.579128265380859,3.1622776601683795,0.0,0.8333333333333334
406,100,2,5,0.4472135954999579,0.6666666666666666,0.8333333333333334,3.3082988262176514,0.2853872776031494,1.0,0.8333333333333334,0.0
407,100,17,1,0.4472135954999579,1.0,1.0,289.97440218925476,2.1427841186523438,3.1622776601683795,0.0,1.0
408,100,18,5,0.4472135954999579,1.0,1.0,914.8481833934784,2.914952278137207,3.1622776601683795,0.16666666666666666,0.8333333333333334
409,100,19,1,0.4472135954999579,1.0,1.0,397.77399802207947,2.4610016345977783,3.1622776601683795,0.0,1.0
410,100,7,5,0.4472135954999579,1.0,0.8333333333333334,62.44786834716797,3.7663352489471436,3.1622776601683795,0.16666666666666666,0.5
411,100,1,1,0.4472135954999579,0.0,0.0,0.16298985481262207,0.1706218719482422,1.0,0.0,0.0
412,100,12,5,0.4472135954999579,1.0,1.0,266.95335149765015,4.396862983703613,3.1622776601683795,0.16666666666666666,0.8333333333333334
413,100,6,5,0.4472135954999579,1.0,0.8333333333333334,38.064369916915894,2.4081177711486816,3.1622776601683795,0.16666666666666666,0.6666666666666666
414,100,8,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,116.66422724723816,2.400374412536621,3.1622776601683795,0.16666666666666666,0.6666666666666666
415,100,7,1,0.4472135954999579,1.0,1.0,21.07939577102661,0.23014545440673828,1.0,1.0,0.0
416,100,20,5,0.4472135954999579,1.0,1.0,1234.0549762248993,2.9184391498565674,3.1622776601683795,0.0,1.0
417,100,3,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,10.735164403915405,0.8322763442993164,1.0,0.6666666666666666,0.16666666666666666
418,100,2,1,0.4472135954999579,1.0,1.0,0.6785497665405273,0.09337592124938965,1.0,1.0,0.0
419,100,18,1,0.4472135954999579,1.0,1.0,305.2163300514221,2.4886350631713867,3.1622776601683795,0.0,1.0
420,100,6,1,0.4472135954999579,1.0,1.0,12.233009099960327,0.22491073608398438,1.0,1.0,1.0
421,100,20,1,0.4472135954999579,1.0,1.0,493.9113063812256,2.2360801696777344,3.1622776601683795,0.0,1.0
422,100,14,5,0.4472135954999579,1.0,1.0,409.10169792175293,3.358522415161133,3.1622776601683795,0.16666666666666666,0.6666666666666666
423,100,5,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,31.021241188049316,3.736147880554199,3.1622776601683795,0.3333333333333333,0.16666666666666666
424,100,13,5,0.4472135954999579,1.0,1.0,451.07015109062195,3.5749690532684326,3.1622776601683795,0.16666666666666666,0.8333333333333334
425,100,12,1,0.4472135954999579,1.0,1.0,113.51273202896118,4.103835821151733,3.1622776601683795,0.0,1.0
426,100,10,5,0.4472135954999579,1.0,0.8333333333333334,228.50009632110596,4.250273942947388,3.1622776601683795,0.16666666666666666,0.5
427,100,3,1,0.4472135954999579,1.0,1.0,1.7658634185791016,0.23852825164794922,1.0,1.0,0.0
428,100,4,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,12.898342370986938,0.5836911201477051,1.0,0.6666666666666666,0.16666666666666666
429,100,8,1,0.4472135954999579,1.0,1.0,31.759337425231934,0.2781844139099121,1.0,1.0,1.0
430,100,16,5,0.4472135954999579,1.0,1.0,615.817013502121,4.193174839019775,3.1622776601683795,0.0,0.8333333333333334
431,100,13,1,0.4472135954999579,1.0,1.0,142.06079936027527,4.0868682861328125,3.1622776601683795,0.0,1.0
432,100,9,5,0.4472135954999579,1.0,0.8333333333333334,135.03949856758118,2.4099514484405518,3.1622776601683795,0.16666666666666666,0.3333333333333333
433,100,11,5,0.4472135954999579,1.0,0.8333333333333334,216.27693819999695,3.054840087890625,10.0,0.16666666666666666,0.8333333333333334
434,100,15,5,0.4472135954999579,1.0,1.0,568.7037408351898,3.298020839691162,3.1622776601683795,0.0,0.6666666666666666
435,100,10,1,0.4472135954999579,1.0,1.0,58.253111124038696,2.35036301612854,3.1622776601683795,0.0,1.0
