n,k,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
200,40,175,0.85,60.699462890625,108.20235466957092,0.9,0.03766298294067383,0.925,0.005994842503189409,1.8081028461456299,0.8,0.023808956146240234,0.925,1.206841230392456
50,40,129,0.65,21.590709686279297,26.750130653381348,0.6,0.01958775520324707,0.625,0.01,0.11544632911682129,0.55,0.0218350887298584,0.575,0.29468631744384766
100,40,141,0.75,44.82421875,44.64740204811096,0.725,0.03301191329956055,0.825,0.01,0.40828847885131836,0.75,0.044763803482055664,0.8,0.5952036380767822
50,40,130,0.675,21.09375,23.973087310791016,0.675,0.01690983772277832,0.725,0.01,0.09532666206359863,0.6,0.040961265563964844,0.6,0.38085007667541504
150,40,158,0.825,59.765625,62.34007120132446,0.825,0.032044410705566406,0.9,0.005994842503189409,0.8282454013824463,0.675,0.032093048095703125,0.85,0.5630135536193848
250,40,194,0.75,109.62381362915039,149.21800327301025,0.825,0.039930105209350586,0.85,0.003593813663804626,6.442426919937134,0.7,0.028365373611450195,0.85,1.0585639476776123
100,40,142,0.85,37.5,44.80664134025574,0.825,0.027196168899536133,0.875,0.01,0.16174554824829102,0.775,0.03891444206237793,0.8,0.5881180763244629
200,40,176,0.875,70.3125,83.14740061759949,0.875,0.04850506782531738,0.875,0.005994842503189409,1.4477319717407227,0.825,0.05330300331115723,0.825,1.0088605880737305
100,40,143,0.775,39.276123046875,50.62004590034485,0.75,0.030185222625732422,0.75,0.01,0.44336581230163574,0.65,0.03745412826538086,0.775,0.5448775291442871
150,40,159,0.8,64.453125,67.31606769561768,0.825,0.029415369033813477,0.9,0.005994842503189409,0.6848177909851074,0.825,0.03740119934082031,0.925,0.5175614356994629
100,40,144,0.875,37.5,33.6327862739563,0.85,0.024089336395263672,0.925,0.01,0.20096731185913086,0.85,0.014032602310180664,0.9,0.27819395065307617
200,40,177,0.85,79.6875,80.50654077529907,0.925,0.07419514656066895,0.875,0.005994842503189409,3.0078346729278564,0.825,0.04860806465148926,0.9,0.8756535053253174
300,40,211,0.925,84.375,131.59115529060364,0.95,0.06659793853759766,1,0.003593813663804626,6.1239845752716064,0.925,0.03129458427429199,1,0.8003420829772949
250,40,195,0.9,74.70703125,121.61709451675415,0.95,0.041548728942871094,0.975,0.005994842503189409,3.8106088638305664,0.925,0.024394989013671875,1,1.0406701564788818
150,40,160,0.825,50.78125,67.14555287361145,0.875,0.033535003662109375,0.875,0.005994842503189409,0.8510212898254395,0.8,0.04771280288696289,0.825,0.6479711532592773
100,40,145,0.8,33.203125,40.94606161117554,0.775,0.024691104888916016,0.875,0.01,0.4077894687652588,0.725,0.016141176223754883,0.825,0.6262071132659912
100,40,146,0.775,39.84375,40.99248743057251,0.75,0.03241539001464844,0.775,0.01,0.3923490047454834,0.8,0.058341026306152344,0.775,0.49431586265563965
200,40,178,0.925,70.3125,79.84748697280884,0.95,0.06375408172607422,1,0.005994842503189409,2.233173131942749,0.925,0.06024670600891113,1,0.4986250400543213
150,40,161,0.9,46.875,59.426199436187744,0.9,0.029027462005615234,0.95,0.005994842503189409,0.6231522560119629,0.925,0.058387041091918945,0.925,0.41103696823120117
250,40,196,0.925,75,94.92853784561157,0.975,0.046656131744384766,0.95,0.003593813663804626,4.643797397613525,0.85,0.023623228073120117,0.95,0.5911972522735596
100,40,147,0.725,36.538124084472656,51.18272638320923,0.625,0.020858049392700195,0.75,0.01,0.23134732246398926,0.65,0.04187154769897461,0.75,0.4986915588378906
300,40,212,0.9,116.015625,128.22330927848816,0.95,0.04652905464172363,0.95,0.003593813663804626,8.487870693206787,0.8,0.0333859920501709,0.95,0.7803497314453125
150,40,162,0.75,56.25,54.45399498939514,0.725,0.04500317573547363,0.775,0.005994842503189409,0.797959566116333,0.75,0.019399642944335938,0.825,0.8839833736419678
200,40,179,0.8,75,73.70068764686584,0.75,0.04774618148803711,0.85,0.005994842503189409,2.033578634262085,0.7,0.03199410438537598,0.925,1.2254135608673096
100,40,148,0.825,42.1875,43.846977949142456,0.85,0.026043176651000977,0.875,0.01,0.3594789505004883,0.85,0.011079072952270508,0.9,0.4287536144256592
150,40,163,0.775,56.25,59.41184592247009,0.825,0.04141640663146973,0.85,0.005994842503189409,1.2123887538909912,0.775,0.0488743782043457,0.875,0.8879423141479492
100,40,149,0.75,42.1875,40.029025077819824,0.725,0.03256344795227051,0.775,0.01,0.171372652053833,0.725,0.030341625213623047,0.825,0.45553159713745117
250,40,197,0.825,84.375,96.75182104110718,0.9,0.04943490028381348,0.95,0.003593813663804626,6.442830324172974,0.7,0.10575175285339355,0.95,1.248337745666504
200,40,180,0.8,116.015625,76.36386704444885,0.9,0.04690241813659668,0.775,0.005994842503189409,2.9603195190429688,0.625,0.08210563659667969,0.875,0.9527409076690674
100,40,150,0.65,44.82421875,42.50753974914551,0.625,0.030158042907714844,0.725,0.01,0.4247469902038574,0.525,0.021331071853637695,0.75,0.4591386318206787
300,40,213,0.75,168.75,107.6025710105896,0.75,0.09073352813720703,0.6,0.005994842503189409,7.24235987663269,0.575,0.07572031021118164,0.675,2.0553736686706543
150,40,164,0.75,62.5,53.53355431556702,0.7,0.04487967491149902,0.725,0.005994842503189409,1.167478322982788,0.65,0.05863356590270996,0.8,0.6842424869537354
200,40,181,0.85,66.40625,79.9358651638031,0.85,0.05398821830749512,0.95,0.003593813663804626,2.2039105892181396,0.9,0.017608165740966797,1,0.7466678619384766
150,40,165,0.825,50.9796142578125,73.24516201019287,0.825,0.034882307052612305,0.875,0.005994842503189409,1.4366393089294434,0.75,0.03934431076049805,0.875,0.744577169418335
250,40,198,0.95,81.56490325927734,127.37909460067749,0.95,0.051561594009399414,0.975,0.002154434690031882,4.572446584701538,0.875,0.07503604888916016,0.975,0.8790805339813232
200,40,182,0.825,93.75,69.55835509300232,0.825,0.0438077449798584,0.9,0.005994842503189409,1.9639866352081299,0.8,0.051026344299316406,0.9,0.7918744087219238
150,40,166,0.9,56.25,58.62778091430664,0.95,0.04979896545410156,1,0.005994842503189409,0.59519362449646,0.95,0.01643848419189453,1,0.3992328643798828
