,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time
553,300,12898,0.98,1.2455995082855225,0.98,0.08111858367919922,0.98,0.002154434690031882,15.65700888633728,0.7,0.05146288871765137
554,300,12899,1.0,0.6342649459838867,0.9,0.5764667987823486,0.92,0.002154434690031882,5.9176976680755615,0.72,0.08322596549987793
555,300,12900,0.88,1.1380369663238525,0.9,0.3053576946258545,0.94,0.001291549665014884,20.430107355117798,0.68,0.42704296112060547
556,300,12901,0.9,0.6926815509796143,0.78,0.5748863220214844,0.82,0.001291549665014884,13.54727554321289,0.78,0.04300403594970703
557,300,12902,0.98,2.946221351623535,0.98,3.25465726852417,0.98,0.002154434690031882,8.324460506439209,0.68,0.22670602798461914
558,300,12903,0.96,2.6465470790863037,0.96,0.14816904067993164,0.82,0.001291549665014884,16.606968879699707,0.7,0.40177249908447266
559,300,12904,0.98,2.54757022857666,0.98,3.079422950744629,0.98,0.002154434690031882,27.088489055633545,0.72,0.0772557258605957
560,300,12905,0.96,0.7293314933776855,0.96,0.1312730312347412,0.94,0.002154434690031882,29.249065160751343,0.74,0.6134836673736572
561,300,12906,0.98,3.4350054264068604,0.98,0.2245042324066162,0.94,0.001291549665014884,15.144017696380615,0.76,0.23443269729614258
562,300,12907,0.96,0.4320199489593506,0.96,0.041936397552490234,0.96,0.002154434690031882,25.598684787750244,0.72,0.35474157333374023
563,300,12908,0.98,0.4856112003326416,0.98,0.02765512466430664,0.98,0.002154434690031882,16.511003017425537,0.8,0.338376522064209
564,300,12909,0.98,1.0205886363983154,0.94,0.039110422134399414,0.92,0.002154434690031882,10.881722927093506,0.76,0.06566143035888672
565,300,12910,1.0,0.6354446411132812,0.96,0.24702048301696777,0.96,0.002154434690031882,12.899970531463623,0.78,0.05133962631225586
566,300,12911,0.9,0.6391448974609375,0.94,1.1673099994659424,0.96,0.002154434690031882,8.1645827293396,0.66,0.043416500091552734
567,300,12912,0.82,0.4522690773010254,0.92,0.25664544105529785,0.82,0.001291549665014884,11.875372171401978,0.8,0.04511857032775879
568,300,12913,0.96,2.8654847145080566,0.96,0.3007967472076416,0.98,0.002154434690031882,17.124138832092285,0.7,0.3114204406738281
569,300,12914,0.98,1.5128123760223389,0.88,0.3620593547821045,0.82,0.002154434690031882,15.184062719345093,0.7,0.15663409233093262
570,300,12915,0.98,1.1749536991119385,0.98,0.13157963752746582,0.98,0.001291549665014884,14.269065618515015,0.76,0.09351253509521484
571,300,12916,1.0,0.8425209522247314,1.0,0.04090237617492676,0.98,0.002154434690031882,13.34280776977539,0.72,0.1824040412902832
572,300,12917,0.94,0.8043410778045654,0.94,0.11168789863586426,0.92,0.001291549665014884,29.992415189743042,0.68,0.23910212516784668
573,300,12918,0.86,3.1463799476623535,1.0,0.3682847023010254,0.94,0.002154434690031882,17.103511571884155,0.7,0.11343264579772949
574,300,12919,0.94,2.745266914367676,0.96,0.032073259353637695,0.96,0.002154434690031882,13.735615491867065,0.78,0.08741044998168945
575,300,12920,1.0,2.9977524280548096,1.0,0.019870758056640625,1.0,0.002154434690031882,8.327476263046265,0.74,0.08336400985717773
576,300,12921,0.96,2.430634021759033,0.94,0.3230257034301758,0.86,0.001291549665014884,17.52671480178833,0.82,0.048094749450683594
577,300,12922,0.96,1.429758071899414,0.96,1.6261229515075684,0.88,0.001291549665014884,16.55974292755127,0.78,0.08072304725646973
578,300,12923,1.0,0.5059256553649902,1.0,0.04103970527648926,0.94,0.001291549665014884,12.533864498138428,0.68,0.08441281318664551
579,300,12924,0.88,2.692734956741333,0.84,2.9370405673980713,0.82,0.001291549665014884,12.08669924736023,0.74,0.046578168869018555
580,300,12925,0.98,1.2529213428497314,0.98,0.03415489196777344,0.98,0.002154434690031882,9.610818147659302,0.72,0.09528422355651855
581,300,12926,1.0,0.40932703018188477,1.0,0.041734933853149414,1.0,0.002154434690031882,10.535520792007446,0.76,0.17970013618469238
582,300,12927,0.88,1.1449456214904785,0.88,0.10805130004882812,0.84,0.002154434690031882,17.945626258850098,0.66,0.11854195594787598
583,300,12928,0.86,1.2805757522583008,0.84,0.1817793846130371,1.0,0.002154434690031882,9.236745595932007,0.74,0.04279351234436035
584,300,12929,0.94,1.2893221378326416,0.84,0.5976190567016602,0.86,0.002154434690031882,12.4600088596344,0.72,0.1102902889251709
585,300,12930,0.96,1.5442817211151123,0.96,1.2168030738830566,0.72,0.001291549665014884,29.124054670333862,0.56,0.5142438411712646
586,300,12931,0.96,6.145673990249634,0.94,0.7922470569610596,0.98,0.002154434690031882,24.04092764854431,0.72,0.04604220390319824
587,300,12932,0.98,0.768028736114502,0.98,0.060327768325805664,0.98,0.002154434690031882,23.791923999786377,0.76,0.16967463493347168
588,300,12933,0.98,0.8986098766326904,0.98,0.030122756958007812,0.84,0.001291549665014884,12.420269012451172,0.72,0.08117127418518066
589,300,12934,0.98,2.131659507751465,0.98,1.3545598983764648,0.98,0.002154434690031882,17.015239715576172,0.62,0.36493349075317383
590,300,12935,1.0,2.5162055492401123,1.0,0.3478102684020996,0.82,0.001291549665014884,14.640470266342163,0.62,0.16449475288391113
591,300,12936,0.98,1.2640080451965332,0.96,0.05399656295776367,0.96,0.002154434690031882,10.416322946548462,0.82,0.09259891510009766
592,300,12937,1.0,1.91902494430542,1.0,0.08635997772216797,1.0,0.002154434690031882,16.183077096939087,0.72,0.2072594165802002
593,300,12938,1.0,0.890756368637085,1.0,0.037348270416259766,0.98,0.002154434690031882,14.845903635025024,0.82,0.1923666000366211
594,300,12939,0.98,1.8149974346160889,0.98,0.03150677680969238,0.98,0.001291549665014884,13.063323974609375,0.84,0.0924985408782959
595,300,12940,1.0,0.7285747528076172,1.0,0.06401824951171875,0.94,0.002154434690031882,14.103037118911743,0.72,0.21746611595153809
596,300,12941,0.98,0.6146988868713379,0.98,0.028035879135131836,0.98,0.002154434690031882,10.036737442016602,0.7,0.4852776527404785
597,300,12942,1.0,2.090770721435547,0.98,1.3671212196350098,0.86,0.001291549665014884,15.273711204528809,0.84,0.12827730178833008
598,300,12943,1.0,6.752749443054199,1.0,0.22854208946228027,0.98,0.001291549665014884,12.645403861999512,0.66,0.04189872741699219
599,300,12944,0.98,1.630025863647461,0.98,0.18312644958496094,0.86,0.001291549665014884,11.778044700622559,0.64,0.09257864952087402
600,350,12945,0.98,1.1105544567108154,0.98,0.6887001991271973,0.96,0.002154434690031882,20.748470783233643,0.84,0.3655660152435303
601,350,12946,0.96,3.8613553047180176,0.94,1.6056499481201172,0.98,0.001291549665014884,25.234580278396606,0.76,0.06639981269836426
602,350,12947,1.0,1.8484539985656738,1.0,0.1685929298400879,1.0,0.001291549665014884,18.598472356796265,0.86,0.25406742095947266
603,350,12948,1.0,1.6620559692382812,0.98,0.6399426460266113,1.0,0.001291549665014884,18.12195086479187,0.8,0.045660972595214844
604,350,12949,0.98,0.9854736328125,0.98,0.8882095813751221,0.98,0.001291549665014884,10.831177234649658,0.78,0.046770572662353516
605,350,12950,1.0,2.4442293643951416,0.98,1.3101768493652344,1.0,0.001291549665014884,15.461030960083008,0.76,0.21344208717346191
606,350,12951,1.0,0.9976263046264648,0.98,1.370685338973999,0.96,0.002154434690031882,21.404911994934082,0.78,0.5525140762329102
607,350,12952,0.98,2.0488834381103516,0.94,1.7358708381652832,0.98,0.001291549665014884,15.93485140800476,0.74,0.22791099548339844
608,350,12953,1.0,3.717540979385376,1.0,0.6151349544525146,0.94,0.001291549665014884,10.31963300704956,0.82,0.37424135208129883
609,350,12954,1.0,1.9885673522949219,0.98,2.5753581523895264,0.96,0.001291549665014884,20.294827222824097,0.84,0.04541730880737305
610,350,12955,1.0,1.123824119567871,1.0,0.16824007034301758,1.0,0.001291549665014884,18.077818870544434,0.72,0.08320283889770508
611,350,12956,1.0,0.9555249214172363,0.9,4.399993419647217,0.84,0.000774263682681127,19.354334115982056,0.8,0.044333696365356445
612,350,12957,1.0,1.6484436988830566,0.96,1.5868961811065674,0.96,0.001291549665014884,33.1976523399353,0.84,0.5721046924591064
613,350,12958,1.0,1.8175721168518066,0.98,1.5007026195526123,0.98,0.002154434690031882,21.865379810333252,0.82,0.30608272552490234
614,350,12959,1.0,2.1960065364837646,1.0,1.2703113555908203,0.98,0.002154434690031882,24.21786880493164,0.92,0.09569525718688965
615,350,12960,1.0,1.5517098903656006,0.98,2.2508385181427,1.0,0.002154434690031882,16.9232017993927,0.76,0.04517841339111328
616,350,12961,1.0,2.131732225418091,1.0,0.026716947555541992,1.0,0.001291549665014884,13.22206425666809,0.8,0.04433727264404297
617,350,12962,1.0,2.300171136856079,0.98,0.675687313079834,0.96,0.001291549665014884,7.379266738891602,0.78,0.03971409797668457
