n,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
250,482,0.5,0.00014162063598632812,40.9309196472168,0.4,0.05714559555053711,0.42,0.01,0.27894043922424316,0.4,0.2162787914276123,0.44,0.2923915386199951
250,512,0.5,6.103515625e-5,44.4296772480011,0.5,0.07270979881286621,0.5,0.01,0.4071776866912842,0.38,0.4026961326599121,0.52,0.6329405307769775
200,452,0.36,3.0517578125e-5,28.086249589920044,0.4,0.16028523445129395,0.4,0.01,0.9928550720214844,0.42,0.8480319976806641,0.4,0.4838523864746094
150,242,0.3,2.574920654296875e-6,28.491013526916504,0.42,0.07929301261901855,0.42,0.003593813663804626,0.26670312881469727,0.32,0.3659355640411377,0.44,0.1318342685699463
250,542,0.5,9.765625e-5,31.626288175582886,0.54,0.03862500190734863,0.52,0.005994842503189409,1.0888051986694336,0.42,0.5976922512054443,0.48,0.8024861812591553
50,61,0,7.888609052210118e-32,93.9368007183075,0.2,0.04842400550842285,0.2,0.002154434690031882,0.47343015670776367,0.2,0.4825103282928467,0.2,0.04351353645324707
250,483,0.38,1.953125e-4,21.846858024597168,0.4,0.10085511207580566,0.4,0.005994842503189409,1.6352965831756592,0.36,0.6179859638214111,0.42,1.2638976573944092
200,391,0.42,2.1457672119140625e-6,107.96544456481934,0.44,0.12651419639587402,0.44,0.003593813663804626,1.0800893306732178,0.34,0.42960643768310547,0.42,1.3132045269012451
100,121,0.12,7.888609052210118e-32,109.80055809020996,0.2,0.16549229621887207,0.2,7.74263682681127e-4,0.9604465961456299,0.16,0.19234108924865723,0.24,0.08437800407409668
150,332,0.34,1.0132789611816406e-6,48.460821866989136,0.36,0.11063838005065918,0.36,0.01,1.1719818115234375,0.32,0.7947263717651367,0.34,0.4720742702484131
200,362,0.38,1.0460615158081055e-5,81.83188199996948,0.44,0.13209891319274902,0.44,0.003593813663804626,0.825763463973999,0.34,0.4614262580871582,0.44,0.5100324153900146
50,91,0,7.888609052210118e-32,128.57529067993164,0.16,0.05963301658630371,0.16,1.668100537200059e-4,0.5673208236694336,0.16,0.4998743534088135,0.16,0.22206687927246094
200,453,0.46,2.918243408203125e-5,43.12692975997925,0.36,0.1736764907836914,0.36,0.003593813663804626,0.3583533763885498,0.3,0.12903594970703125,0.36,0.8101575374603271
50,31,0,7.888609052210118e-32,130.41290998458862,0.26,0.14118647575378418,0.26,0.001291549665014884,1.326920986175537,0.26,1.1016993522644043,0.26,0.35886383056640625
250,543,0.48,9.765625e-5,37.82681727409363,0.44,0.181718111038208,0.48,0.01,1.7728779315948486,0.54,0.4611177444458008,0.46,1.137779712677002
250,484,0.48,7.324218750000001e-5,29.011672258377075,0.5,0.0614781379699707,0.48,0.01,0.321791410446167,0.42,0.12400674819946289,0.54,0.42700791358947754
250,572,0.52,3.0517578125e-5,81.37110185623169,0.54,0.13792061805725098,0.54,0.005994842503189409,2.06462025642395,0.42,0.7370314598083496,0.54,1.0843994617462158
150,302,0.38,3.218650817871094e-7,88.90644860267639,0.34,0.11870455741882324,0.34,0.001291549665014884,0.4527254104614258,0.3,0.353271484375,0.34,0.14324212074279785
200,422,0.34,2.0599365234375e-5,97.37519192695618,0.36,0.16509246826171875,0.36,1.668100537200059e-4,1.2293496131896973,0.28,0.5816249847412109,0.36,0.9072091579437256
50,1,0.02,7.888609052210118e-32,166.01331782341003,0.14,0.23022818565368652,0.14,0.01,1.26414155960083,0.18,1.632920503616333,0.14,0.3504445552825928
150,243,0.38,4.861794877797365e-7,75.9435224533081,0.36,0.2598538398742676,0.36,0.002154434690031882,0.4990880489349365,0.3,0.11666393280029297,0.34,0.1289660930633545
200,392,0.38,1.220703125e-5,47.86658716201782,0.44,0.1485590934753418,0.44,0.002154434690031882,0.7963993549346924,0.28,0.2040102481842041,0.44,0.3503737449645996
250,514,0.5,7.324218750000001e-5,42.60544991493225,0.52,0.0879368782043457,0.5,0.01,0.4335625171661377,0.44,0.1335904598236084,0.52,0.330456018447876
200,363,0.44,1.52587890625e-5,46.98375868797302,0.38,0.07590675354003906,0.38,0.003593813663804626,0.2655167579650879,0.3,0.2044055461883545,0.4,0.1985013484954834
100,181,0.18,7.888609052210118e-32,187.5629279613495,0.28,0.12441492080688477,0.28,7.74263682681127e-4,1.220067024230957,0.36,0.9470350742340088,0.28,0.30672669410705566
100,151,0.16,7.888609052210118e-32,187.34352588653564,0.26,0.12543392181396484,0.26,0.003593813663804626,1.3299098014831543,0.2,1.64754319190979,0.22,0.9175457954406738
250,485,0.52,9.765625e-5,35.978803396224976,0.46,0.21185779571533203,0.46,0.003593813663804626,1.8523552417755127,0.32,0.4711134433746338,0.46,0.3716907501220703
200,454,0.42,1.52587890625e-5,53.59899115562439,0.46,0.10283136367797852,0.46,0.001291549665014884,0.54236602783203125,0.36,0.15703797340393066,0.46,0.2507493495941162
150,333,0.36,2.3603439331054693e-6,71.12379884719849,0.32,0.13121891021728516,0.32,0.01,0.8592042922973633,0.3,0.2939414978027344,0.32,0.13536930084228516
200,364,0.42,2.74658203125e-5,18.5732581615448,0.46,0.08177995681762695,0.46,1e-4,0.3308384418487549,0.28,0.16444635391235352,0.46,0.21531367301940918
200,423,0.42,3.0517578125e-6,44.246490240097046,0.42,0.11125326156616211,0.42,1e-4,0.33880090713500977,0.3,0.40377211570739746,0.4,0.18852686882019043
150,244,0.4,1.2874603271484376e-6,39.02175498008728,0.38,0.08725428581237793,0.38,0.005994842503189409,0.4431791305541992,0.24,0.18395447731018066,0.36,0.11107063293457031
250,544,0.4,3.6621093750000005e-5,58.631683588027954,0.42,0.11391711235046387,0.44,0.01,0.22882366180419922,0.34,0.10708999633789062,0.38,1.654273509979248
