,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
75,50,10075,0.3,2.444960832595825,0.3,13.880866289138794,0.28,4.260135173797607
76,50,10076,0.18,0.0605928897857666,0.18,12.930194854736328,0.22,2.230112314224243
77,50,10077,0.28,0.16244149208068848,0.28,21.30587077140808,0.28,3.818145275115967
78,50,10078,0.14,2.2070131301879883,0.14,24.136685132980347,0.12,4.4198830127716064
79,50,10079,0.16,1.5276460647583008,0.16,26.126011610031128,0.18,5.764018535614014
80,50,10080,0.22,1.3106904029846191,0.22,15.817580699920654,0.14,3.143160581588745
81,50,10081,0.18,1.263335943222046,0.18,17.687371492385864,0.2,2.476179838180542
82,50,10082,0.18,3.7325074672698975,0.18,15.905983209609985,0.18,2.463076114654541
83,50,10083,0.22,1.2126882076263428,0.22,20.12808060646057,0.22,8.629493236541748
84,50,10084,0.16,1.4398188591003418,0.16,29.079127311706543,0.1,5.381403207778931
85,50,10085,0.2,0.955737829208374,0.2,21.92269492149353,0.24,3.323221206665039
86,50,10086,0.18,2.078640937805176,0.18,22.13173198699951,0.22,6.876792907714844
87,50,10087,0.22,0.9218852519989014,0.22,17.784998655319214,0.18,5.490721225738525
88,50,10088,0.24,0.467876672744751,0.24,16.13664412498474,0.16,4.010428190231323
89,50,10089,0.22,1.106184482574463,0.22,17.730929374694824,0.22,5.544862747192383
90,50,10090,0.28,1.0845320224761963,0.28,20.278722763061523,0.14,4.466031551361084
91,50,10091,0.26,1.3649954795837402,0.26,25.74534034729004,0.2,4.388979434967041
92,50,10092,0.22,2.0259459018707275,0.22,20.660170555114746,0.22,5.339004278182983
93,50,10093,0.3,1.3446054458618164,0.3,18.613856554031372,0.26,3.6521644592285156
94,50,10094,0.12,0.7220697402954102,0.12,17.22417187690735,0.14,4.069015264511108
95,50,10095,0.18,0.754417896270752,0.18,21.777835369110107,0.24,5.623733043670654
96,50,10096,0.32,1.202296257019043,0.32,14.25774598121643,0.32,3.9849023818969727
97,50,10097,0.26,0.8933393955230713,0.26,13.747240543365479,0.16,2.3565502166748047
98,50,10098,0.2,0.8162407875061035,0.2,18.985349893569946,0.24,3.2360122203826904
99,50,10099,0.2,0.9744250774383545,0.2,16.262418746948242,0.24,2.564826726913452
100,100,10100,0.32,2.20102596282959,0.24,126.18072175979614,0.2,13.96941614151001
101,100,10101,0.3,6.879918098449707,0.12,148.27637338638306,0.24,11.856447219848633
102,100,10102,0.24,8.133086442947388,0.1,139.58923530578613,0.3,12.04866909980774
103,100,10103,0.26,5.666458368301392,0.26,184.74802160263062,0.22,16.594538927078247
104,100,10104,0.34,5.44573974609375,0.18,155.63529515266418,0.24,9.154147624969482
105,100,10105,0.34,4.646753311157227,0.34,130.354168176651,0.16,20.84697914123535
106,100,10106,0.26,8.163963317871094,0.26,130.98440837860107,0.28,4.932961940765381
107,100,10107,0.24,4.31702184677124,0.1,147.96084237098694,0.16,8.489643096923828
108,100,10108,0.32,6.313740015029907,0.2,136.61829113960266,0.22,12.569740772247314
109,100,10109,0.26,1.3722963333129883,0.24,54.226566791534424,0.26,13.87036657333374
110,100,10110,0.28,2.0508997440338135,0.12,98.47186946868896,0.28,6.946403741836548
111,100,10111,0.24,3.1740152835845947,0.14,91.35358762741089,0.3,8.733968496322632
112,100,10112,0.38,3.383803606033325,0.3,88.65764951705933,0.3,13.281426429748535
113,100,10113,0.42,1.933586597442627,0.3,99.51340889930725,0.32,17.16393518447876
114,100,10114,0.2,3.188405990600586,0.22,126.338050365448,0.24,5.149346351623535
115,100,10115,0.3,5.565688371658325,0.18,125.02552723884583,0.24,5.140087127685547
116,100,10116,0.3,1.7787244319915771,0.16,84.4285180568695,0.26,7.02279257774353
117,100,10117,0.3,3.393953800201416,0.22,160.2810709476471,0.18,16.480257272720337
118,100,10118,0.32,11.516757488250732,0.18,163.89460349082947,0.24,32.72399878501892
119,100,10119,0.26,6.99406623840332,0.28,135.78849244117737,0.18,22.492947340011597
120,100,10120,0.28,5.873474836349487,0.22,140.53153347969055,0.26,9.500417232513428
121,100,10121,0.22,4.814829587936401,0.14,124.89585995674133,0.28,15.061959743499756
122,100,10122,0.36,5.09212064743042,0.2,139.37058424949646,0.34,13.831061840057373
123,100,10123,0.38,5.347413063049316,0.34,136.3276870250702,0.24,19.012731552124023
124,100,10124,0.36,8.32104754447937,0.26,148.95479559898376,0.3,5.556887626647949
125,100,10125,0.32,3.00602650642395,0.16,139.1054286956787,0.26,13.921793460845947
126,100,10126,0.24,4.537768125534058,0.2,146.47719550132751,0.24,12.609711170196533
127,100,10127,0.18,11.696186542510986,0.14,151.9971945285797,0.14,12.785597324371338
128,100,10128,0.24,5.077565670013428,0.24,105.30607986450195,0.18,15.398915767669678
