,n,seed,IHT_accuracy,IHT_cv_accuracy,model
228,150,10228,0.06,0.4,linear
229,150,10229,0.12,0.4,linear
230,150,10230,0.14,0.48,linear
231,150,10231,0.1,0.4,linear
232,150,10232,0.14,0.4,linear
233,150,10233,0.14,0.56,linear
234,150,10234,0.14,0.4,linear
235,150,10235,0.08,0.46,linear
236,150,10236,0.08,0.4,linear
237,150,10237,0.1,0.52,linear
238,150,10238,0.2,0.36,linear
239,150,10239,0.16,0.42,linear
240,150,10240,0.06,0.34,linear
241,150,10241,0.14,0.46,linear
242,150,10242,0.08,0.44,linear
243,150,10243,0.18,0.44,linear
244,150,10244,0.1,0.46,linear
245,150,10245,0.06,0.38,linear
246,150,10246,0.22,0.4,linear
247,150,10247,0.12,0.46,linear
248,150,10248,0.08,0.36,linear
249,150,10249,0.12,0.5,linear
250,150,10250,0.14,0.38,linear
251,150,10251,0.16,0.42,linear
252,150,10252,0.14,0.42,linear
253,150,10253,0.14,0.44,linear
254,150,10254,0.18,0.44,linear
255,150,10255,0.16,0.38,linear
256,150,10256,0.1,0.42,linear
257,150,10257,0.16,0.5,linear
258,150,10258,0.14,0.52,linear
259,150,10259,0.08,0.32,linear
260,150,10260,0.08,0.46,linear
261,150,10261,0.1,0.48,linear
262,150,10262,0.16,0.46,linear
263,150,10263,0.1,0.5,linear
264,150,10264,0.08,0.36,linear
265,150,10265,0.1,0.44,linear
266,150,10266,0.1,0.48,linear
267,150,10267,0.12,0.38,linear
268,150,10268,0.08,0.46,linear
269,150,10269,0.08,0.46,linear
270,150,10270,0.14,0.52,linear
271,150,10271,0.16,0.54,linear
272,150,10272,0.1,0.38,linear
273,150,10273,0.12,0.38,linear
274,150,10274,0.02,0.44,linear
275,150,10275,0.1,0.56,linear
276,150,10276,0.12,0.52,linear
277,150,10277,0.1,0.38,linear
278,150,10278,0.1,0.46,linear
279,150,10279,0.08,0.4,linear
280,150,10280,0.1,0.56,linear
281,150,10281,0.18,0.42,linear
282,150,10282,0.12,0.34,linear
283,150,10283,0.06,0.36,linear
284,150,10284,0.08,0.34,linear
285,150,10285,0.14,0.52,linear
286,150,10286,0.08,0.56,linear
287,150,10287,0.16,0.36,linear
288,150,10288,0.16,0.42,linear
289,150,10289,0.08,0.44,linear
290,150,10290,0.12,0.36,linear
291,150,10291,0.12,0.4,linear
292,150,10292,0.16,0.46,linear
293,150,10293,0.08,0.48,linear
294,150,10294,0.1,0.52,linear
295,150,10295,0.08,0.42,linear
296,150,10296,0.14,0.36,linear
297,150,10297,0.16,0.42,linear
298,150,10298,0.1,0.46,linear
299,150,10299,0.16,0.38,linear
300,200,10300,0.1,0.54,linear
301,200,10301,0.1,0.6,linear
302,200,10302,0.04,0.5,linear
303,200,10303,0.12,0.62,linear
304,200,10304,0.1,0.58,linear
305,200,10305,0.2,0.52,linear
306,200,10306,0.1,0.48,linear
307,200,10307,0.14,0.54,linear
308,200,10308,0.12,0.56,linear
309,200,10309,0.12,0.56,linear
310,200,10310,0.12,0.58,linear
311,200,10311,0.08,0.58,linear
312,200,10312,0.18,0.56,linear
313,200,10313,0.04,0.44,linear
314,200,10314,0.08,0.52,linear
315,200,10315,0.14,0.44,linear
316,200,10316,0.1,0.46,linear
317,200,10317,0.14,0.62,linear
318,200,10318,0.1,0.64,linear
319,200,10319,0.08,0.58,linear
320,200,10320,0.18,0.62,linear
321,200,10321,0.1,0.58,linear
322,200,10322,0.12,0.48,linear
323,200,10323,0.18,0.54,linear
324,200,10324,0.08,0.66,linear
325,200,10325,0.12,0.5,linear
326,200,10326,0.16,0.64,linear
327,200,10327,0.2,0.54,linear
328,200,10328,0.12,0.52,linear
329,200,10329,0.1,0.6,linear
330,200,10330,0.18,0.7,linear
331,200,10331,0.14,0.56,linear
332,200,10332,0.24,0.6,linear
333,200,10333,0.18,0.6,linear
334,200,10334,0.14,0.46,linear
335,200,10335,0.08,0.54,linear
336,200,10336,0.08,0.56,linear
337,200,10337,0.18,0.54,linear
338,200,10338,0.16,0.6,linear
339,200,10339,0.16,0.48,linear
340,200,10340,0.14,0.58,linear
341,200,10341,0.1,0.58,linear
342,200,10342,0.22,0.58,linear
343,200,10343,0.08,0.62,linear
344,200,10344,0.06,0.5,linear
345,200,10345,0.18,0.48,linear
346,200,10346,0.16,0.66,linear
347,200,10347,0.16,0.52,linear
348,200,10348,0.1,0.54,linear
349,200,10349,0.1,0.66,linear
350,200,10350,0.24,0.5,linear
351,200,10351,0.2,0.56,linear
352,200,10352,0.1,0.48,linear
353,200,10353,0.12,0.44,linear
354,200,10354,0.16,0.56,linear
355,200,10355,0.16,0.54,linear
356,200,10356,0.1,0.52,linear
357,200,10357,0.12,0.62,linear
358,200,10358,0.1,0.48,linear
359,200,10359,0.12,0.52,linear
360,200,10360,0.2,0.6,linear
361,200,10361,0.12,0.66,linear
362,200,10362,0.16,0.6,linear
363,200,10363,0.1,0.62,linear
364,200,10364,0.1,0.52,linear
365,200,10365,0.14,0.64,linear
366,200,10366,0.18,0.62,linear
367,200,10367,0.16,0.6,linear
368,200,10368,0.12,0.62,linear
369,200,10369,0.16,0.64,linear
370,200,10370,0.1,0.52,linear
371,200,10371,0.14,0.62,linear
372,200,10372,0.16,0.58,linear
373,200,10373,0.12,0.5,linear
374,200,10374,0.08,0.46,linear
375,200,10375,0.08,0.48,linear
376,200,10376,0.16,0.52,linear
377,200,10377,0.08,0.58,linear
378,200,10378,0.16,0.54,linear
379,200,10379,0.12,0.52,linear
380,200,10380,0.18,0.58,linear
381,200,10381,0.14,0.52,linear
382,200,10382,0.14,0.52,linear
383,200,10383,0.16,0.72,linear
384,200,10384,0.16,0.6,linear
385,200,10385,0.12,0.52,linear
386,200,10386,0.08,0.58,linear
387,200,10387,0.18,0.52,linear
388,200,10388,0.12,0.62,linear
389,200,10389,0.14,0.64,linear
390,200,10390,0.08,0.52,linear
391,200,10391,0.18,0.54,linear
392,200,10392,0.14,0.54,linear
393,200,10393,0.06,0.54,linear
394,200,10394,0.14,0.62,linear
395,200,10395,0.14,0.58,linear
396,200,10396,0.1,0.5,linear
397,200,10397,0.2,0.5,linear
398,200,10398,0.18,0.48,linear
399,200,10399,0.1,0.62,linear
400,250,10400,0.16,0.66,linear
401,250,10401,0.14,0.58,linear
402,250,10402,0.12,0.72,linear
403,250,10403,0.22,0.7,linear
404,250,10404,0.16,0.74,linear
405,250,10405,0.24,0.62,linear
406,250,10406,0.1,0.68,linear
407,250,10407,0.18,0.72,linear
408,250,10408,0.08,0.52,linear
409,250,10409,0.06,0.6,linear
410,250,10410,0.22,0.58,linear
411,250,10411,0.1,0.54,linear
412,250,10412,0.24,0.62,linear
413,250,10413,0.22,0.48,linear
414,250,10414,0.18,0.68,linear
415,250,10415,0.1,0.6,linear
416,250,10416,0.16,0.84,linear
417,250,10417,0.16,0.78,linear
418,250,10418,0.12,0.5,linear
419,250,10419,0.12,0.76,linear
420,250,10420,0.14,0.66,linear
421,250,10421,0.16,0.7,linear
422,250,10422,0.22,0.64,linear
423,250,10423,0.08,0.66,linear
424,250,10424,0.12,0.56,linear
425,250,10425,0.12,0.62,linear
426,250,10426,0.14,0.7,linear
427,250,10427,0.18,0.68,linear
428,250,10428,0.12,0.86,linear
429,250,10429,0.12,0.58,linear
430,250,10430,0.2,0.6,linear
431,250,10431,0.2,0.58,linear
432,250,10432,0.12,0.68,linear
433,250,10433,0.06,0.78,linear
434,250,10434,0.16,0.64,linear
435,250,10435,0.18,0.58,linear
436,250,10436,0.16,0.5,linear
437,250,10437,0.08,0.62,linear
438,250,10438,0.14,0.64,linear
439,250,10439,0.16,0.68,linear
440,250,10440,0.12,0.58,linear
441,250,10441,0.16,0.54,linear
442,250,10442,0.16,0.6,linear
443,250,10443,0.12,0.8,linear
444,250,10444,0.1,0.58,linear
445,250,10445,0.12,0.76,linear
446,250,10446,0.06,0.72,linear
447,250,10447,0.14,0.62,linear
448,250,10448,0.12,0.7,linear
449,250,10449,0.1,0.86,linear
450,250,10450,0.18,0.54,linear
451,250,10451,0.18,0.7,linear
452,250,10452,0.18,0.5,linear
453,250,10453,0.14,0.56,linear
454,250,10454,0.16,0.62,linear
455,250,10455,0.16,0.52,linear
456,250,10456,0.14,0.6,linear
457,250,10457,0.08,0.7,linear
458,250,10458,0.16,0.6,linear
459,250,10459,0.16,0.66,linear
460,250,10460,0.1,0.5,linear
461,250,10461,0.1,0.64,linear
462,250,10462,0.1,0.52,linear
463,250,10463,0.22,0.74,linear
464,250,10464,0.16,0.7,linear
465,250,10465,0.18,0.62,linear
466,250,10466,0.08,0.54,linear
467,250,10467,0.12,0.74,linear
468,250,10468,0.18,0.8,linear
469,250,10469,0.2,0.66,linear
470,250,10470,0.14,0.8,linear
471,250,10471,0.2,0.72,linear
472,250,10472,0.14,0.58,linear
473,250,10473,0.12,0.6,linear
474,250,10474,0.12,0.66,linear
475,250,10475,0.1,0.58,linear
476,250,10476,0.16,0.54,linear
477,250,10477,0.1,0.76,linear
478,250,10478,0.18,0.62,linear
479,250,10479,0.16,0.54,linear
480,250,10480,0.22,0.72,linear
481,250,10481,0.1,0.7,linear
482,250,10482,0.1,0.56,linear
483,250,10483,0.18,0.66,linear
484,250,10484,0.08,0.54,linear
485,250,10485,0.08,0.56,linear
486,250,10486,0.16,0.64,linear
487,250,10487,0.2,0.8,linear
488,250,10488,0.16,0.6,linear
489,250,10489,0.12,0.54,linear
490,250,10490,0.22,0.62,linear
491,250,10491,0.22,0.56,linear
492,250,10492,0.08,0.6,linear
493,250,10493,0.14,0.7,linear
494,250,10494,0.16,0.76,linear
495,250,10495,0.24,0.62,linear
496,250,10496,0.2,0.72,linear
497,250,10497,0.1,0.52,linear
498,250,10498,0.26,0.84,linear
499,250,10499,0.2,0.64,linear
500,300,10500,0.22,0.7,linear
501,300,10501,0.14,0.86,linear
502,300,10502,0.16,0.62,linear
503,300,10503,0.22,0.58,linear
504,300,10504,0.22,0.7,linear
505,300,10505,0.22,0.82,linear
506,300,10506,0.16,0.64,linear
507,300,10507,0.22,0.76,linear
508,300,10508,0.18,0.68,linear
509,300,10509,0.28,0.78,linear
510,300,10510,0.12,0.62,linear
511,300,10511,0.24,0.7,linear
512,300,10512,0.22,0.7,linear
513,300,10513,0.2,0.74,linear
514,300,10514,0.1,0.64,linear
515,300,10515,0.1,0.76,linear
516,300,10516,0.22,0.66,linear
517,300,10517,0.2,0.66,linear
518,300,10518,0.18,0.64,linear
519,300,10519,0.08,0.6,linear
520,300,10520,0.24,0.66,linear
521,300,10521,0.14,0.68,linear
522,300,10522,0.24,0.72,linear
523,300,10523,0.14,0.68,linear
524,300,10524,0.1,0.96,linear
525,300,10525,0.2,0.72,linear
526,300,10526,0.2,0.68,linear
527,300,10527,0.12,0.58,linear
528,300,10528,0.18,0.62,linear
529,300,10529,0.22,0.72,linear
530,300,10530,0.18,0.72,linear
531,300,10531,0.12,0.56,linear
532,300,10532,0.2,0.64,linear
533,300,10533,0.18,0.7,linear
534,300,10534,0.14,0.68,linear
535,300,10535,0.2,0.78,linear
536,300,10536,0.08,0.64,linear
537,300,10537,0.1,0.66,linear
538,300,10538,0.16,0.8,linear
539,300,10539,0.24,0.76,linear
540,300,10540,0.28,0.64,linear
541,300,10541,0.14,0.58,linear
542,300,10542,0.16,0.82,linear
543,300,10543,0.16,0.66,linear
544,300,10544,0.24,0.8,linear
545,300,10545,0.18,0.72,linear
546,300,10546,0.18,0.66,linear
547,300,10547,0.12,0.64,linear
548,300,10548,0.22,0.64,linear
549,300,10549,0.16,0.66,linear
550,300,10550,0.08,0.68,linear
551,300,10551,0.18,0.8,linear
552,300,10552,0.2,0.6,linear
553,300,10553,0.16,0.62,linear
554,300,10554,0.24,0.7,linear
555,300,10555,0.18,0.68,linear
556,300,10556,0.2,0.74,linear
557,300,10557,0.14,0.64,linear
558,300,10558,0.18,0.66,linear
559,300,10559,0.14,0.62,linear
560,300,10560,0.16,0.68,linear
561,300,10561,0.16,0.66,linear
562,300,10562,0.2,0.82,linear
563,300,10563,0.28,0.72,linear
564,300,10564,0.12,0.86,linear
565,300,10565,0.16,0.68,linear
566,300,10566,0.1,0.76,linear
567,300,10567,0.22,0.7,linear
568,300,10568,0.2,0.78,linear
569,300,10569,0.16,0.66,linear
570,300,10570,0.2,0.66,linear
571,300,10571,0.22,0.62,linear
572,300,10572,0.16,0.76,linear
573,300,10573,0.14,0.72,linear
574,300,10574,0.18,0.62,linear
575,300,10575,0.12,0.64,linear
576,300,10576,0.2,0.78,linear
577,300,10577,0.2,0.74,linear
578,300,10578,0.16,0.72,linear
579,300,10579,0.2,0.7,linear
580,300,10580,0.2,0.98,linear
581,300,10581,0.2,0.66,linear
582,300,10582,0.16,0.56,linear
583,300,10583,0.18,0.7,linear
584,300,10584,0.22,0.72,linear
585,300,10585,0.16,0.74,linear
586,300,10586,0.12,0.62,linear
587,300,10587,0.2,0.64,linear
588,300,10588,0.1,0.62,linear
589,300,10589,0.24,0.7,linear
590,300,10590,0.14,0.56,linear
591,300,10591,0.2,0.6,linear
592,300,10592,0.2,0.64,linear
593,300,10593,0.16,0.74,linear
594,300,10594,0.14,0.66,linear
595,300,10595,0.2,0.7,linear
596,300,10596,0.18,0.68,linear
597,300,10597,0.14,0.72,linear
598,300,10598,0.22,0.64,linear
599,300,10599,0.14,0.72,linear
600,350,10600,0.14,0.68,linear
601,350,10601,0.2,0.84,linear
602,350,10602,0.14,0.8,linear
603,350,10603,0.22,0.76,linear
604,350,10604,0.18,0.78,linear
605,350,10605,0.18,0.82,linear
606,350,10606,0.24,0.84,linear
607,350,10607,0.24,0.72,linear
608,350,10608,0.24,0.78,linear
609,350,10609,0.32,0.76,linear
610,350,10610,0.08,0.74,linear
611,350,10611,0.2,0.64,linear
612,350,10612,0.2,0.72,linear
613,350,10613,0.24,0.84,linear
614,350,10614,0.1,0.74,linear
615,350,10615,0.2,0.62,linear
616,350,10616,0.22,0.74,linear
617,350,10617,0.22,0.78,linear
618,350,10618,0.14,0.9,linear
619,350,10619,0.18,0.74,linear
620,350,10620,0.22,0.86,linear
621,350,10621,0.16,0.94,linear
622,350,10622,0.26,0.86,linear
623,350,10623,0.22,0.8,linear
624,350,10624,0.18,0.74,linear
625,350,10625,0.14,0.68,linear
626,350,10626,0.3,0.8,linear
627,350,10627,0.16,0.86,linear
628,350,10628,0.16,0.74,linear
629,350,10629,0.16,0.8,linear
630,350,10630,0.16,0.92,linear
631,350,10631,0.26,0.84,linear
632,350,10632,0.16,0.82,linear
633,350,10633,0.18,0.76,linear
634,350,10634,0.16,0.7,linear
635,350,10635,0.3,0.82,linear
636,350,10636,0.22,0.74,linear
637,350,10637,0.22,0.8,linear
638,350,10638,0.12,0.58,linear
639,350,10639,0.24,0.74,linear
640,350,10640,0.2,0.82,linear
641,350,10641,0.32,0.72,linear
642,350,10642,0.18,0.82,linear
643,350,10643,0.26,0.82,linear
644,350,10644,0.22,0.74,linear
645,350,10645,0.26,0.76,linear
646,350,10646,0.26,0.84,linear
647,350,10647,0.1,0.76,linear
648,350,10648,0.1,0.72,linear
649,350,10649,0.16,0.8,linear
650,350,10650,0.2,0.7,linear
651,350,10651,0.24,0.76,linear
652,350,10652,0.26,0.82,linear
653,350,10653,0.12,0.76,linear
654,350,10654,0.16,0.82,linear
655,350,10655,0.22,0.92,linear
656,350,10656,0.22,0.84,linear
657,350,10657,0.24,0.76,linear
