{'n': 200, 'seed': 1102, 'SCOPE_accuracy': 0.44, 'SCOPE_time': 0.633141040802002, 'GraHTP_accuracy': 0.44, 'GraHTP_time': 0.23833036422729492, 'GraHTP_cv_accuracy': 0.44, 'GraHTP_best_step_size': 0.0002782559402207126, 'GraHTP_cv_time': 0.89597487449646, 'GraSP_accuracy': 0.28, 'GraSP_time': 2.4442718029022217}
{'n': 400, 'seed': 1390, 'SCOPE_accuracy': 0.64, 'SCOPE_time': 17.379637718200684, 'GraHTP_accuracy': 0.64, 'GraHTP_time': 0.01453709602355957, 'GraHTP_cv_accuracy': 0.68, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 1.767035961151123, 'GraSP_accuracy': 0.54, 'GraSP_time': 0.8694438934326172}
{'n': 100, 'seed': 1070, 'SCOPE_accuracy': 0.26, 'SCOPE_time': 0.6177859306335449, 'GraHTP_accuracy': 0.26, 'GraHTP_time': 0.4000377655029297, 'GraHTP_cv_accuracy': 0.26, 'GraHTP_best_step_size': 0.002154434690031882, 'GraHTP_cv_time': 4.088844299316406, 'GraSP_accuracy': 0.22, 'GraSP_time': 4.20451807975769}
{'n': 100, 'seed': 1030, 'SCOPE_accuracy': 0.26, 'SCOPE_time': 0.7320773601531982, 'GraHTP_accuracy': 0.26, 'GraHTP_time': 0.7185747623443604, 'GraHTP_cv_accuracy': 0.26, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 7.59108304977417, 'GraSP_accuracy': 0.24, 'GraSP_time': 4.828892469406128}
{'n': 100, 'seed': 1001, 'SCOPE_accuracy': 0.22, 'SCOPE_time': 0.0639200210571289, 'GraHTP_accuracy': 0.22, 'GraHTP_time': 0.3544423580169678, 'GraHTP_cv_accuracy': 0.22, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 6.640798568725586, 'GraSP_accuracy': 0.24, 'GraSP_time': 3.040982723236084}
{'n': 300, 'seed': 1201, 'SCOPE_accuracy': 0.4, 'SCOPE_time': 4.223351001739502, 'GraHTP_accuracy': 0.42, 'GraHTP_time': 0.5377500057220459, 'GraHTP_cv_accuracy': 0.4, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 2.188816785812378, 'GraSP_accuracy': 0.42, 'GraSP_time': 0.9966576099395752}
{'n': 100, 'seed': 1021, 'SCOPE_accuracy': 0.26, 'SCOPE_time': 0.06328654289245605, 'GraHTP_accuracy': 0.26, 'GraHTP_time': 0.03183293342590332, 'GraHTP_cv_accuracy': 0.26, 'GraHTP_best_step_size': 0.0001668100537200059, 'GraHTP_cv_time': 0.324404239654541, 'GraSP_accuracy': 0.26, 'GraSP_time': 0.27071380615234375}
{'n': 200, 'seed': 1180, 'SCOPE_accuracy': 0.46, 'SCOPE_time': 0.17933416366577148, 'GraHTP_accuracy': 0.46, 'GraHTP_time': 0.030699968338012695, 'GraHTP_cv_accuracy': 0.46, 'GraHTP_best_step_size': 0.0001, 'GraHTP_cv_time': 0.28154826164245605, 'GraSP_accuracy': 0.34, 'GraSP_time': 0.20660138130187988}
{'n': 100, 'seed': 1090, 'SCOPE_accuracy': 0.26, 'SCOPE_time': 1.022690773010254, 'GraHTP_accuracy': 0.26, 'GraHTP_time': 0.44133925437927246, 'GraHTP_cv_accuracy': 0.26, 'GraHTP_best_step_size': 0.002154434690031882, 'GraHTP_cv_time': 3.599177837371826, 'GraSP_accuracy': 0.24, 'GraSP_time': 1.8305561542510986}
{'n': 400, 'seed': 1350, 'SCOPE_accuracy': 0.6, 'SCOPE_time': 8.150144815444946, 'GraHTP_accuracy': 0.6, 'GraHTP_time': 0.15951156616210938, 'GraHTP_cv_accuracy': 0.62, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 5.03994607925415, 'GraSP_accuracy': 0.62, 'GraSP_time': 1.6200551986694336}
