,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
728,350,780,0.62,1.6728262901306152,0.62,3.41530704498291,0.44,3.7490062713623047
729,400,913,0.6,0.2009587287902832,0.62,2.136632204055786,0.6,2.805711269378662
730,400,940,0.68,0.25395989418029785,0.7,1.8468198776245117,0.7,2.121464490890503
731,450,969,0.62,0.05233573913574219,0.68,1.3624274730682373,0.68,1.881464958190918
732,350,827,0.6,0.14395880699157715,0.62,4.793527603149414,0.56,4.982356786727905
733,400,885,0.56,0.16740036010742188,0.62,2.0648088455200195,0.62,6.3044962882995605
734,400,941,0.62,0.2953176498413086,0.66,3.432790517807007,0.6,2.934842348098755
735,500,1111,0.74,10.389150381088257,0.8,18.75118637084961,0.78,38.57100319862366
736,450,1028,0.64,1.45847487449646,0.68,33.64971089363098,0.7,47.268308877944946
737,450,1001,0.66,0.02380061149597168,0.82,12.134992361068726,0.74,51.26988697052002
738,400,856,0.6,1.447983980178833,0.72,57.099595069885254,0.66,26.3110511302948
739,450,970,0.64,12.024616003036499,0.66,64.97282290458679,0.64,9.60891318321228
740,500,1081,0.68,0.6550123691558838,0.74,47.674034118652344,0.74,89.17526865005493
741,100,210,0.24,17.59481930732727,0.24,40.412095069885254,0.24,6.537494659423828
742,400,914,0.52,7.135451078414917,0.5,52.052794218063354,0.52,36.144325733184814
743,400,942,0.6,6.193589687347412,0.66,70.6632912158966,0.52,61.36944603919983
744,400,886,0.58,4.922886610031128,0.64,68.56291127204895,0.6,41.649622678756714
745,450,1056,0.62,14.343075513839722,0.66,53.5132200717926,0.64,1.8516643047332764
746,450,1029,0.68,16.73717761039734,0.7,59.150593519210815,0.7,45.63853335380554
747,500,1112,0.68,2.0247113704681396,0.74,20.890790462493896,0.7,65.14878678321838
748,400,857,0.58,20.571247100830078,0.62,62.69351577758789,0.56,37.584715127944946
749,450,1002,0.68,0.28272151947021484,0.78,56.95440912246704,0.68,12.634310960769653
750,500,1141,0.7,6.482428550720215,0.76,57.62061262130737,0.7,25.752498626708984
751,450,1057,0.72,18.706679344177246,0.72,122.30552291870117,0.74,41.638606548309326
752,450,1030,0.66,1.109236240386963,0.76,40.61866474151611,0.62,13.691877841949463
753,400,887,0.6,0.2288649082183838,0.62,60.53075289726257,0.48,10.800636529922485
754,400,943,0.6,6.132452487945557,0.66,99.15041255950928,0.56,81.57701826095581
755,500,1142,0.74,1.9421401023864746,0.84,31.662495136260986,0.82,59.61794352531433
756,400,858,0.66,2.431795120239258,0.76,21.800718784332275,0.64,37.996050119400024
757,450,1058,0.66,23.922332525253296,0.72,26.408429861068726,0.64,42.58444404602051
758,400,915,0.64,5.023853778839111,0.64,75.21268272399902,0.62,75.71005034446716
759,500,1082,0.58,7.35434103012085,0.72,36.78257513046265,0.7,1.8951449394226074
760,500,1143,0.56,4.770797967910767,0.64,101.2556631565094,0.68,20.880571126937866
761,450,1003,0.68,13.754533290863037,0.7,98.17638278007507,0.64,68.77552080154419
762,500,1113,0.7,3.5713095664978027,0.76,25.235132694244385,0.66,40.040770530700684
763,450,971,0.62,1.3724243640899658,0.74,84.34157109260559,0.72,47.82191848754883
764,450,1031,0.72,5.052112102508545,0.8,68.23554682731628,0.72,43.58914303779602
765,400,944,0.62,4.9545371532440186,0.68,34.466967821121216,0.62,27.96810007095337
766,400,888,0.62,0.6673116683959961,0.68,36.19168543815613,0.58,33.9960298538208
767,400,945,0.6,19.19114851951599,0.6,90.19641447067261,0.62,66.67378544807434
768,400,859,0.52,6.533069133758545,0.56,32.07728409767151,0.5,16.81461763381958
769,400,916,0.62,3.5517377853393555,0.64,50.12652850151062,0.54,109.3126974105835
770,500,1083,0.72,21.171259880065918,0.82,133.76922869682312,0.7,45.291038513183594
771,450,972,0.64,3.9451699256896973,0.7,73.51561880111694,0.66,32.47309756278992
772,450,1059,0.72,13.35799765586853,0.74,23.95738410949707,0.76,18.68830919265747
