,n,p,k,abess_accuracy,GraHTP_accuracy,GraHTP_cv_accuracy,abess_time,GraHTP_time,GraHTP_cv_time,min_step_size
115,150,200,20,0.75,0.45,0.75,11.625409603118896,23.906534910202026,142.99534487724304,0.004
116,450,200,20,0.95,0.25,0.95,8.62729787826538,11.793803930282593,152.1195089817047,0.003
117,600,200,20,0.85,0.3,0.9,7.171859979629517,5.323501110076904,180.45748615264893,0.001
118,500,200,20,0.95,0.25,0.95,3.3415610790252686,12.721554517745972,138.60795545578003,0.001
119,700,200,20,1.0,0.1,1.0,3.544201374053955,11.509401082992554,114.18515872955322,0.0005
120,200,200,20,0.75,0.4,0.75,7.501495599746704,15.257006168365479,126.84052109718323,0.003
121,400,200,20,0.85,0.4,0.85,2.0254461765289307,5.273975849151611,139.12334990501404,0.001
122,300,200,20,0.9,0.35,0.9,1.9558844566345215,10.117159128189087,160.14615988731384,0.002
123,550,200,20,0.9,0.25,0.9,1.197352409362793,4.742552757263184,159.75430035591125,0.001
124,750,200,20,0.95,0.2,0.9,2.0978708267211914,7.2118470668792725,161.06016898155212,0.001
125,650,200,20,0.85,0.3,0.85,3.0246126651763916,5.995332956314087,153.1464340686798,0.001
126,800,200,20,1.0,0.2,1.0,4.152174234390259,6.022059679031372,141.8650541305542,0.0005
127,350,200,20,0.85,0.3,0.85,4.33836817741394,6.2265846729278564,129.79978489875793,0.0005
128,100,200,20,0.6,0.6,0.7,2.185565233230591,4.683914422988892,115.37562322616577,0.004
129,250,200,20,0.9,0.3,0.9,1.7183337211608887,4.39023494720459,132.294335603714,0.002
130,150,200,20,0.65,0.5,0.65,0.286562442779541,1.7194671630859375,37.031710147857666,0.002
131,450,200,20,0.9,0.25,0.95,2.1227893829345703,6.337698698043823,112.35237193107605,0.001
132,600,200,20,0.9,0.2,0.9,0.4672245979309082,1.6225626468658447,123.49851942062378,0.001
133,500,200,20,0.85,0.25,0.85,1.5898888111114502,7.381088018417358,109.56523108482361,0.001
134,700,200,20,0.95,0.2,0.95,0.37153077125549316,3.288302421569824,115.50968289375305,0.001
135,200,200,20,0.8,0.3,0.75,1.521543264389038,1.841712236404419,23.11349844932556,0.002
136,400,200,20,0.9,0.2,0.9,4.2767250537872314,3.901926279067993,90.07138395309448,0.0005
137,300,200,20,0.95,0.4,0.95,0.3793959617614746,2.5176146030426025,98.20835137367249,0.003
138,550,200,20,0.85,0.25,0.85,0.25108814239501953,0.27651333808898926,97.78650975227356,0.001
139,750,200,20,0.9,0.15,0.9,0.12302398681640625,4.564435720443726,89.46631908416748,0.0005
140,650,200,20,0.8,0.3,0.8,0.9018125534057617,1.9664390087127686,85.04620432853699,0.0005
141,800,200,20,0.95,0.25,0.95,1.491877555847168,1.6382195949554443,81.94047021865845,0.0005
142,350,200,20,0.85,0.35,0.85,0.627770185470581,0.6208779811859131,84.90674591064453,0.002
143,100,200,20,0.6,0.6,0.55,0.2415149211883545,0.30904412269592285,1.9689428806304932,0.005
144,250,200,20,0.8,0.35,0.85,0.4859929084777832,0.4928135871887207,72.7828118801117,0.002
145,150,200,20,0.55,0.4,0.5,3.0065062046051025,5.826270580291748,63.851399183273315,0.003
146,450,200,20,0.85,0.15,0.85,1.53596830368042,1.9353492259979248,73.22699618339539,0.001
147,600,200,20,0.95,0.2,0.95,0.7170419692993164,1.8687779903411865,68.78161644935608,0.0005
148,500,200,20,0.9,0.2,0.9,0.26087212562561035,0.4776890277862549,71.87264394760132,0.001
149,700,200,20,0.9,0.2,0.9,0.5189611911773682,0.7073721885681152,67.38882875442505,0.0005
