,model,n,p,k,seed,method,time,accuracy,n_iters
155,linear,100,500,50,17,GraSP_jit,2.1527651989999868,0.28,42.0
156,linear,100,500,50,17,GraSP,38.57267968799988,0.28,42.0
157,linear,100,500,50,17,IHT_jit,0.3014945119998629,0.32,2.0
158,linear,100,500,50,17,IHT,0.4154474140000275,0.32,2.0
159,linear,100,500,50,17,HTP_jit,0.3012391420002132,0.2,7.0
160,linear,100,500,50,17,HTP,3.3516638209998746,0.2,7.0
161,linear,100,500,50,17,CVXPY,0.08062929399966379,0.36,0.0
162,linear,100,500,50,18,SCOPE_jit,1.0634151660001407,0.38,20.0
163,linear,100,500,50,18,SCOPE,12.937324520999937,0.38,20.0
164,linear,100,500,50,18,GraSP_jit,7.907185893000133,0.14,99.0
165,linear,100,500,50,18,GraSP,89.20164210799976,0.14,99.0
166,linear,100,500,50,18,IHT_jit,0.20363407800005007,0.34,5.0
167,linear,100,500,50,18,IHT,0.3127286760000061,0.34,5.0
168,linear,100,500,50,18,HTP_jit,0.30321879199982504,0.34,8.0
169,linear,100,500,50,18,HTP,2.352406821999921,0.34,8.0
170,linear,100,500,50,18,CVXPY,0.06458588299983603,0.38,0.0
171,linear,100,500,50,19,SCOPE_jit,0.6465376470000592,0.24,15.0
172,linear,100,500,50,19,SCOPE,8.358288026000082,0.24,15.0
173,linear,100,500,50,19,GraSP_jit,1.0613027379999949,0.3,22.0
174,linear,100,500,50,19,GraSP,23.233437221999793,0.3,22.0
175,linear,100,500,50,19,IHT_jit,0.36697800100000677,0.3,3.0
176,linear,100,500,50,19,IHT,0.5642540150001878,0.3,3.0
177,linear,100,500,50,19,HTP_jit,0.9388288000000102,0.14,64.0
178,linear,100,500,50,19,HTP,18.272717209000348,0.14,64.0
179,linear,100,500,50,19,CVXPY,0.08555942300017705,0.32,0.0
180,linear,100,500,50,20,SCOPE_jit,0.7109635469996647,0.32,20.0
181,linear,100,500,50,20,SCOPE,12.375739841000268,0.32,20.0
182,linear,100,500,50,20,GraSP_jit,2.789803007000046,0.32,43.0
183,linear,100,500,50,20,GraSP,42.5235658900001,0.32,43.0
184,linear,100,500,50,20,IHT_jit,0.40878481199979433,0.34,1.0
185,linear,100,500,50,20,IHT,0.18066770199993698,0.34,1.0
186,linear,100,500,50,20,HTP_jit,0.2930526730001475,0.2,8.0
187,linear,100,500,50,20,HTP,3.6489498480000293,0.2,8.0
188,linear,100,500,50,20,CVXPY,0.09564262499998222,0.4,0.0
189,linear,100,500,50,21,SCOPE_jit,0.88248787800012,0.3,21.0
190,linear,100,500,50,21,SCOPE,10.279763681000077,0.3,21.0
191,linear,100,500,50,21,GraSP_jit,2.2417939270003444,0.24,47.0
192,linear,100,500,50,21,GraSP,54.406579402999796,0.24,47.0
193,linear,100,500,50,21,IHT_jit,0.39465138299965474,0.34,1.0
194,linear,100,500,50,21,IHT,0.4616136759996152,0.34,1.0
195,linear,100,500,50,21,HTP_jit,0.8110983020005733,0.28,46.0
196,linear,100,500,50,21,HTP,14.314951176999784,0.28,46.0
197,linear,100,500,50,21,CVXPY,0.11465222500009986,0.44,0.0
198,linear,100,500,50,22,SCOPE_jit,0.6698530579997168,0.22,22.0
199,linear,100,500,50,22,SCOPE,10.39448406199972,0.22,22.0
200,linear,100,500,50,22,GraSP_jit,2.6071688570000333,0.24,52.0
201,linear,100,500,50,22,GraSP,42.38371932799964,0.24,52.0
202,linear,100,500,50,22,IHT_jit,0.43863019899981737,0.24,2.0
203,linear,100,500,50,22,IHT,0.46395512300023256,0.24,2.0
204,linear,100,500,50,22,HTP_jit,0.3440039839997553,0.24,9.0
205,linear,100,500,50,22,HTP,1.8199551610005074,0.24,9.0
206,linear,100,500,50,22,CVXPY,0.028898391999973683,0.26,0.0
207,linear,100,500,50,23,SCOPE_jit,0.8010838569998668,0.28,22.0
208,linear,100,500,50,23,SCOPE,10.024147346999598,0.28,22.0
209,linear,100,500,50,23,GraSP_jit,1.7732747769996422,0.24,43.0
210,linear,100,500,50,23,GraSP,38.019145649000166,0.24,43.0
211,linear,100,500,50,23,IHT_jit,0.301403995000328,0.38,2.0
212,linear,100,500,50,23,IHT,0.28780328799985,0.38,2.0
213,linear,100,500,50,23,HTP_jit,0.3639357629999722,0.26,8.0
214,linear,100,500,50,23,HTP,1.7895786830004,0.26,8.0
215,linear,100,500,50,23,CVXPY,0.010283149999850139,0.26,0.0
216,linear,100,500,50,24,SCOPE_jit,1.4226526030006426,0.24,29.0
217,linear,100,500,50,24,SCOPE,14.858370472000388,0.24,29.0
218,linear,100,500,50,24,GraSP_jit,1.7423135569997612,0.18,49.0
219,linear,100,500,50,24,GraSP,44.21669768100037,0.18,49.0
220,linear,100,500,50,24,IHT_jit,0.24105700699965382,0.32,2.0
221,linear,100,500,50,24,IHT,0.34569311999985075,0.32,2.0
222,linear,100,500,50,24,HTP_jit,0.5191618950002521,0.32,8.0
223,linear,100,500,50,24,HTP,2.161124136999206,0.32,8.0
224,linear,100,500,50,24,CVXPY,0.01373193400013406,0.26,0.0
225,linear,100,500,50,25,SCOPE_jit,0.9597147020003831,0.22,36.0
226,linear,100,500,50,25,SCOPE,13.82451829799993,0.22,36.0
227,linear,100,500,50,25,GraSP_jit,3.5778051890001734,0.16,99.0
228,linear,100,500,50,25,GraSP,81.47225689399966,0.16,99.0
229,linear,100,500,50,25,IHT_jit,0.4198335020000741,0.42,2.0
230,linear,100,500,50,25,IHT,0.5922855870003332,0.42,2.0
231,linear,100,500,50,25,HTP_jit,0.5288290839998808,0.3,9.0
232,linear,100,500,50,25,HTP,2.1356279070005257,0.3,9.0
233,linear,100,500,50,25,CVXPY,0.019946497000091767,0.42,0.0
234,linear,100,500,50,26,SCOPE_jit,0.6748345129999507,0.16,27.0
235,linear,100,500,50,26,SCOPE,15.946981848000178,0.16,27.0
236,linear,100,500,50,26,GraSP_jit,0.996543981999821,0.12,9.0
237,linear,100,500,50,26,GraSP,8.100617983999655,0.12,9.0
238,linear,100,500,50,26,IHT_jit,0.5896216499995717,0.34,5.0
239,linear,100,500,50,26,IHT,0.4499158560001888,0.34,5.0
240,linear,100,500,50,26,HTP_jit,0.3282876570001463,0.12,9.0
241,linear,100,500,50,26,HTP,2.5320735490004154,0.12,9.0
242,linear,100,500,50,26,CVXPY,0.01973865600029967,0.2,0.0
243,linear,100,500,50,27,SCOPE_jit,0.8112284399994678,0.24,21.0
244,linear,100,500,50,27,SCOPE,11.411476123999819,0.24,21.0
245,linear,100,500,50,27,GraSP_jit,1.773324503999902,0.16,38.0
246,linear,100,500,50,27,GraSP,36.084312478000356,0.16,38.0
247,linear,100,500,50,27,IHT_jit,0.3510541000005105,0.24,1.0
248,linear,100,500,50,27,IHT,0.613769331000185,0.24,1.0
249,linear,100,500,50,27,HTP_jit,0.26391310500002874,0.26,7.0
250,linear,100,500,50,27,HTP,2.174617429999671,0.26,7.0
251,linear,100,500,50,27,CVXPY,0.038870028000019374,0.14,0.0
