,model,n,p,k,seed,method,time,accuracy
149,linear,300,500,50,29,CVXPY,0.22342626401223242,0.72
150,linear,400,500,50,30,SCOPE_jit,0.6132944640703499,1.0
151,linear,400,500,50,30,GraSP_jit,2.125210261903703,0.96
152,linear,400,500,50,30,IHT_jit,0.2279311460442841,0.88
153,linear,400,500,50,30,HTP_jit,0.23177324188873172,1.0
154,linear,400,500,50,30,CVXPY,0.17952114599756896,0.9
155,linear,400,500,50,31,SCOPE_jit,1.0672463090159,1.0
156,linear,400,500,50,31,GraSP_jit,1.3200526810251176,0.98
157,linear,400,500,50,31,IHT_jit,0.5400802700314671,0.9
158,linear,400,500,50,31,HTP_jit,0.40267237508669496,0.98
159,linear,400,500,50,31,CVXPY,0.044490637024864554,0.84
160,linear,400,500,50,32,SCOPE_jit,0.637843978125602,1.0
161,linear,400,500,50,32,GraSP_jit,0.5844937819056213,0.96
162,linear,400,500,50,32,IHT_jit,0.33305935305543244,0.9
163,linear,400,500,50,32,HTP_jit,0.6267794601153582,1.0
164,linear,400,500,50,32,CVXPY,0.17025458603166044,0.8
165,linear,400,500,50,33,SCOPE_jit,1.8229746569413692,1.0
166,linear,400,500,50,33,GraSP_jit,4.693392680026591,0.96
167,linear,400,500,50,33,IHT_jit,0.2677577859722078,0.82
168,linear,400,500,50,33,HTP_jit,0.4007277269847691,1.0
169,linear,400,500,50,33,CVXPY,0.14730932796373963,0.8
170,linear,400,500,50,34,SCOPE_jit,2.3009739220142365,1.0
171,linear,400,500,50,34,GraSP_jit,1.3436514281202108,0.96
172,linear,400,500,50,34,IHT_jit,0.7614012530539185,0.8
173,linear,400,500,50,34,HTP_jit,0.47892066510394216,1.0
174,linear,400,500,50,34,CVXPY,0.1655156179331243,0.78
175,linear,400,500,50,35,SCOPE_jit,1.3735937089659274,1.0
176,linear,400,500,50,35,GraSP_jit,0.5269098409917206,0.98
177,linear,400,500,50,35,IHT_jit,0.18741437117569149,0.8
