,n,p,k,seed,abess_accuracy,abess_time
124,120,20,40,8,0.575,28.548720121383667
125,320,20,40,3,0.925,51.11249589920044
126,380,20,40,5,0.825,84.18909811973572
127,100,20,40,7,0.725,17.137640953063965
128,400,20,40,3,0.925,82.86790442466736
129,200,20,40,3,0.8,27.70885729789734
130,60,20,40,4,0.575,11.799259424209595
131,140,20,40,6,0.825,22.728275060653687
132,160,20,40,5,0.9,22.214966773986816
133,100,20,40,2,0.775,15.334900140762329
134,220,20,40,6,0.9,40.84774565696716
135,240,20,40,5,0.8,44.70856976509094
136,40,20,40,5,0.35,4.663931369781494
137,60,20,40,0,0.65,11.02662968635559
138,160,20,40,0,0.6,30.43290662765503
139,240,20,40,0,0.85,48.66805076599121
140,40,20,40,0,0.5,9.930335760116577
141,400,20,40,5,0.975,61.99816536903381
142,100,20,40,9,0.7,14.091287612915039
143,200,20,40,5,0.9,31.706342697143555
144,280,20,40,5,0.95,53.15042185783386
145,140,20,40,8,0.875,22.600059032440186
146,360,20,40,5,0.975,56.69133257865906
147,220,20,40,8,0.9,30.510887384414673
148,120,20,40,1,0.8,25.821081161499023
149,300,20,40,8,0.9,42.161280393600464
150,80,20,40,6,0.85,12.058601379394531
151,180,20,40,6,0.8,19.02401041984558
152,260,20,40,6,0.975,43.98054051399231
153,180,20,40,2,0.825,37.9998664855957
154,260,20,40,2,0.95,36.06622290611267
155,320,20,40,6,0.95,51.04802203178406
156,340,20,40,5,0.875,55.7243549823761
157,380,20,40,8,1.0,54.27439546585083
158,400,20,40,6,0.95,62.44011092185974
159,80,20,40,8,0.675,22.560808658599854
160,120,20,40,7,0.625,14.413126230239868
161,340,20,40,0,0.775,60.08953642845154
162,80,20,40,9,0.8,14.98689079284668
163,160,20,40,8,0.775,29.079891681671143
164,180,20,40,9,0.8,28.479270696640015
165,380,20,40,3,0.95,54.825979709625244
166,260,20,40,9,0.875,39.5568470954895
167,120,20,40,2,0.625,18.585632801055908
168,60,20,40,3,0.575,7.282147407531738
169,160,20,40,3,0.625,31.356714487075806
170,240,20,40,3,0.875,43.172805309295654
171,320,20,40,8,0.85,55.46753931045532
172,40,20,40,3,0.425,5.159471273422241
173,400,20,40,8,1.0,62.2284049987793
174,20,20,40,5,0.375,1.6545946598052979
175,200,20,40,8,0.875,29.49226188659668
176,280,20,40,8,1.0,40.8349494934082
177,120,20,40,9,0.7,20.895878314971924
178,360,20,40,8,0.975,60.6622359752655
179,20,20,40,0,0.35,7.418225526809692
180,280,20,40,3,0.7,43.20938324928284
181,60,20,40,5,0.625,10.789596557617188
182,360,20,40,3,0.85,59.14797759056091
183,140,20,40,7,0.7,30.188659191131592
184,80,20,40,1,0.65,12.61680269241333
185,180,20,40,1,0.95,26.068814516067505
186,300,20,40,6,0.95,52.31021690368652
187,220,20,40,7,0.85,32.53989052772522
188,260,20,40,1,0.9,35.49739599227905
189,300,20,40,7,0.925,36.07952165603638
190,140,20,40,2,0.775,23.74160122871399
191,220,20,40,2,0.875,39.41953897476196
192,340,20,40,8,0.975,59.24800777435303
193,300,20,40,2,0.925,33.80760741233826
194,100,20,40,4,0.75,16.532474517822266
195,320,20,40,1,0.725,46.91660952568054
196,400,20,40,1,0.95,53.14156174659729
197,340,20,40,3,0.975,47.65557026863098
198,380,20,40,6,0.975,50.789464473724365
199,140,20,40,9,0.65,33.8426673412323
